content,tags,posted_time,replies,retweets,likes,views
"23:00〜アキロゼyou
23:00〜ロボ子さんyou
24:00〜夜空メルyou
25:00〜さくらみこyou
25:00〜癒月ちょこyou

～（8/15）～
8:00〜紫咲シオンyou

#ホロジュール",#ホロジュール,2019-08-13T23:02:02+00:00,1,153,377,-1
"20:00〜ときのそら(水着お披露目3D配信 #ホロライブサマー)you
21:00〜猫又おかゆbilibili初配信
21:00〜戌神ころねyou
21:00〜紫咲シオン、癒月ちょこ(コラボ：犬山たまきさん(放送主)、因幡はねるさん)you
22:00〜兎田ぺこらyou

#ホロジュール",#ホロライブサマー #ホロジュール,2019-08-13T23:01:01+00:00,2,175,426,-1
" 〜本日（8/14）の配信予定〜

11:00〜癒月ちょこyou
12:00〜湊あくあyou
13:00〜宝鐘マリンyou
15:00〜潤羽るしあyou
16:00〜白銀ノエルyou
17:00〜ロボ子さんyou
19:00〜不知火フレアyou
19:00〜紫咲シオン、猫又おかゆ(歌ってみたプレミアム公開)you",,2019-08-13T23:00:03+00:00,7,197,501,-1
"8月14日水曜日
おはようございます！ #おはようホロライブ です。

台風の影響で天気の悪いところもあれば、猛暑日のところもあったり、じめじめ曇り空のところも。

こんな日は家にこもって動画や生放送を観るのが一番！

それでは本日もホロライブをよろしくおねがいします！",#おはようホロライブ,2019-08-13T21:31:16+00:00,45,700,1674,-1
"ときのそら(
@tokino_sora
 )さんの水着衣装公開配信のお知らせが公開されました
#ときのそら  
#ホロライブサマー  

ホロライブ所属VTuber「ときのそら」水着衣装公開配信のお知らせ",#ときのそら #ホロライブサマー,2019-08-13T09:25:18+00:00,16,588,1413,-1
"25:00〜癒月ちょこyou
25:00〜さくらみこyou
25:30〜猫又おかゆyou

～（8/14）～
8:00〜紫咲シオンyou

#ホロジュール",#ホロジュール,2019-08-12T23:02:01+00:00,1,151,367,-1
"21:00〜白銀ノエルyou
21:00〜百鬼あやめyou
22:00〜湊あくあyou
22:00〜大空スバルyou
23:00〜大神ミオyou
23:00〜夏色まつりyou
24:00〜ロボ子さんyou
24:00〜夜空メルyou

#ホロジュール",#ホロジュール,2019-08-12T23:01:06+00:00,1,200,504,-1
" 〜本日（8/13）の配信予定〜

12:00〜湊あくあyou
13:00〜ロボ子さんyou
15:00〜大空スバルyou
16:00〜宝鐘マリンyou
17:00〜ロボ子さんyou
19:00〜不知火フレアyou
20:00〜兎田ぺこらyou
20:00〜紫咲シオンyou
20:00〜戌神ころね",,2019-08-12T23:00:03+00:00,7,200,496,-1
"8月13日火曜日
おはようございます！ #おはようホロライブ です。
#C96 、全商品完売、誠にありがとうございました！

これにて #ホロライブサマー は終了です。

~完~

...嘘です！！

ブースで動画を観た方はおわかりのように...水着配信などが楽しいことがまだまだ続きます！お見逃しなく！",#おはようホロライブ #C96 #ホロライブサマー,2019-08-12T21:32:37+00:00,36,717,1697,-1
"夏コミ・ホロライブブースでは毎時0分を過ぎますと、時報動画が流れます！ 
今日の15時の時報動画の担当は、紫咲シオンさん15時40分からは猫又おかゆさん＆戌神ころねさんです！ 

#紫咲シオン　#猫又おかゆ　#戌神ころね　#ホロライブ　#ホロライブサマー　#C96",#紫咲シオン #猫又おかゆ #戌神ころね #ホロライブ #ホロライブサマー #C96,2019-08-12T05:55:10+00:00,0,40,262,-1
"夏コミ・ホロライブブースでは毎時０分を過ぎますと、時報動画が流れます！ 
今日の14時の時報動画の担当は、さくらみこさん(
@sakuramiko35
 )　です！ 

#さくらみこ　#ホロライブ　#ホロライブサマー　#C96",#さくらみこ #ホロライブ #ホロライブサマー #C96,2019-08-12T04:55:00+00:00,2,43,261,-1
"夏コミ・ホロライブブース全商品完売いたしました。

通販は、紙袋以外をそれぞれ個別に８月下旬より開始します。

通販の開始時期は追って告知いたします。

暑い中にホロライブブースにお越しいただき、誠にありがとうございました。

#C96 #ホロライブ #ホロライブサマー",#C96 #ホロライブ #ホロライブサマー,2019-08-12T04:26:30+00:00,142,677,1782,-1
