content,tags,posted_time,replies,retweets,likes,views
"【商品情報】
「#ロボ子さん誕生日記念2021」販売開始

「イコモチ先生描き下ろし 抱き枕カバー」や「お揃いブルーライトカットPC用眼鏡」等をご用意

【数量限定】全部セット特典には「ロボ子さん直筆サイン入りポストカード」が付属

販売ページはこちら",#ロボ子さん誕生日記念2021,2021-05-23T13:00:02+00:00,14,1493,6617,-1
"【#ホロぐら 更新】
5/28(金)は「ホロライブ」1期生デビュー3周年ライブ
にもかかわらず大パニック！？

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」公開
感想は #ホロぐら でお待ちしております

動画の続きはコチラ
https://youtu.be/r-Va_SVWRP4",#ホロぐら #ホロライブ #ホロぐら ,2021-05-23T09:00:18+00:00,30,2728,10102,-1
"【お知らせ】
ホロライブ初のフルアルバム hololive IDOL PROJECT「Bouquet」リリースを記念したCD専用スリーブのご購入は、明日5月24日(月)18時までとなっております

お買い逃しのないようお気をつけください

#ホロライブ #ホロライブから花束を",#ホロライブ #ホロライブから花束を,2021-05-23T03:45:57+00:00,0,640,3011,-1
"【商品情報】
「#ロボ子さん誕生日記念2021」販売開始

「イコモチ先生描き下ろし 抱き枕カバー」や「お揃いブルーライトカットPC用眼鏡」等をご用意

【数量限定】全部セット特典には「ロボ子さん直筆サイン入りポストカード」が付属

販売ページはこちら",#ロボ子さん誕生日記念2021,2021-05-23T13:00:02+00:00,14,1493,6617,-1
"【商品情報】
 #潤羽るしあ 100万人記念として「やすゆき先生描き下ろし 抱き枕カバー」をご用意　この機会にぜひお買い求めください

販売ページはこちら
https://hololive.booth.pm/items/2976695",#潤羽るしあ,2021-05-22T12:05:00+00:00,23,2437,9469,-1
"5/28(金)は「ホロライブ」1期生デビュー3周年ライブ
今回のホロぐらは、そんなライブの前日譚。

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」は明日5/23(日)の18時公開

#桃鈴ねね 初登場の前回
https://youtu.be/IVnnd0lNRtM

#from1st",#ホロライブ #桃鈴ねね #from1st,2021-05-22T12:00:18+00:00,29,1833,6818,-1
"【お知らせ】
本日5月22日(土)より、「エアコミケ３献血応援イベント」が開始しております

皆さまのご協力お待ちしております

#献血 #エアコミケ３ #ホロライブ",#献血 #エアコミケ３ #ホロライブ,2021-05-22T05:20:38+00:00,4,598,3180,-1
"【開催まであと1週間】
5月28日（金）「#from1st 」の開催まで残り1週間となりました

1期生メンバー及びスタッフ一同、ライブ開催に向けて奮闘中……

みなさま、ぜひご覧ください

配信チケットの購入はこちら
https://virtual.spwn.jp/events/21052801-hololive-from-1st…",#from1st ,2021-05-21T13:00:00+00:00,7,717,3892,-1
"【ゲスト告知】 
響ラジオステーションで配信中の「Vのすこんなオタ活なんだワ！」のゲストに、ホロライブの #ロボ子さん と 声優の #相羽あいな さんが出演 
お便り募集中

■放送日：6/2、6/9
■ゲスト：ロボ子さん(
@robocosan
)
　　　　　相羽あいな(
@aibaaiai
)

#すこだワ #響ラジオ",#ロボ子さん #相羽あいな #すこだワ #響ラジオ,2021-05-21T06:32:45+00:00,19,871,3940,-1
"【店頭販売開始】
本日よりゲーマーズ、とらのあなの対象店頭にて「from 1st」ライブグッズの販売が行われます

この機会に、ぜひお立ち寄りください

詳細はこちら
https://from1st.hololive.tv/news

#from1st　#ホロライブ",#from1st #ホロライブ,2021-05-21T03:01:00+00:00,2,781,4375,-1
"【再受注開始】
ただいまより「from 1st」ライブグッズ再受注販売を開始致します

この機会に、ぜひお買い求めください

再受注販売期間
5月21日(金) 12:00 ～ 6月6日(日) 23:59

ご購入はこちら
https://items-store.jp/hololive-from1st…",,2021-05-21T03:00:01+00:00,2,728,3208,-1
"【商品情報】
「 #一伊那尓栖 誕生日記念2021」販売開始

豪華3アイテムが登場
①黒星紅白先生描き下ろしデザインパーカー
②一伊那尓栖描き下ろしアクリルキーホルダー
③特大ビーズクッション

販売ページはこちら
https://hololive.booth.pm/items/2966346",#一伊那尓栖  ,2021-05-21T00:00:00+00:00,15,2073,10522,-1
"【お詫びと訂正】
本イベントのツイートにつきまして、イベント名称の記載に誤りがございました。

誤：「KURO+OBI」
正：「KURO-OBI」

関係各所およびファンの皆様におきましては、ご不便・ご迷惑をおかけしたこと、お詫び申し上げます。",,2021-05-20T14:42:11+00:00,8,348,1983,-1
"【イベント情報】
6月27日（日）に開催される「KURO+OBI」に、弊社ホロライブから「#宝鐘マリン」「#姫森ルーナ」の出演が決定

クリィミーマミさんをはじめとしたアイドルやVTuberさん達と夢の競演

チケット販売はこち
https://virtual.spwn.jp/events/21062719-kuroobi…

#ホロライブ",#宝鐘マリン #姫森ルーナ #ホロライブ,2021-05-20T11:58:25+00:00,15,1745,6438,-1
"【お知らせ2/2】
また同日5月21日(金)開店時より、ゲーマーズ、とらのあなの各店頭で「from 1st」ライブグッズの販売が行われます

この機会に、ぜひお立ち寄りください

取扱店舗はこちら
https://from1st.hololive.tv/news

#from1st　#ホロライブ",#from1st #ホロライブ,2021-05-20T09:01:00+00:00,2,563,2963,-1
"【お知らせ1/2】
「from 1st」のライブグッズ再受注が決定
この機会にぜひお買い求め下さい

日程＆詳細情報はこちら
日程：5月21日(金) 正午12:00 ～ 6月6日(日) 23:59
HP：https://from1st.hololive.tv/goods

ご購入はこちら
https://items-store.jp/hololive-from1st…",,2021-05-20T09:00:00+00:00,2,736,3077,-1
"【お知らせ】
ホロライブ・オルタナティブのアニメPVフルバージョンのプレミア公開が、今週末公開となります

この機会にぜひご視聴ください

 #hololiveALT",#hololiveALT,2021-05-19T08:18:15+00:00,51,2143,8298,-1
"【商品情報】
前回 #バンダイ 様が運営する #プレミアムバンダイ にて発売していた「ホロライブカプセルラバーマスコットコレクション Vol.1」が、 #スマートガシャポン にて発売が開始

ぜひ対象店舗にてお買い求めください
販売店は時間経過で反映されます

#ホロライブ #ガシャポン",#バンダイ #プレミアムバンダイ #スマートガシャポン #ホロライブ #ガシャポン,2021-05-17T08:19:47+00:00,23,1510,6402,-1
"【お知らせ】
5月28日(金) 「#from1st 」出演のホロライブ1期生へのファンレター受付を下記日程で行います

■受付日程
5月17日(月)〜5月23日(日)

送付要項
https://hololive.tv/contact

※ライブ開催後タレントへのお届けとなる他、今回プレゼント受付は致しません。予めご了承下さい。",#from1st,2021-05-17T03:00:00+00:00,2,591,2432,-1
"【#ホロぐら 更新】
#桃鈴ねね 初登場
せーのっ「春はあげぽよ〜！」

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」公開
感想は #ホロぐら でお待ちしております

動画の続きはコチラ
https://youtu.be/IVnnd0lNRtM",#ホロぐら #桃鈴ねね #ホロライブ #ホロぐら,2021-05-16T09:00:18+00:00,79,3554,11168,-1
