content,tags,posted_time,replies,retweets,likes,views
"【ホロぐら更新】
体が大きくなっちゃった！
#白銀ノエル を元に戻すたった一つの方法とは！？

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」公開
感想は #ホロぐら でお待ちしております

本編はコチラ
https://youtu.be/TlH0in-TEFI",#白銀ノエル #ホロライブ #ホロぐら,2020-09-13T09:00:20+00:00,35,1934,6156,-1
"「ホロライブEnglish」の初コラボはいかがだったでしょうか　

今回、メンバー全員のデビューを記念し、前回のPVにボイスを追加　世界に羽ばたく「ホロライブ」を、今後もお見逃しなくお楽しみください

ご視聴はコチラ
https://youtu.be/QYMC8X1K3hk

#HoloMyth #hololiveEnglish",#HoloMyth #hololiveEnglish,2020-09-13T03:09:19+00:00,5,432,1954,-1
"【お知らせ】
デビューした「ホロライブEnglish」のメンバーが、早々にコラボ配信　デビュー配信の感想やお互いの話などに花が咲くこと間違いなし...

配信時間は、この後10時から！

待機場所はコチラ
https://youtube.com/watch?v=zkbXdXbs8vk…

#holoMyth #hololiveEnglish",#holoMyth #hololiveEnglish,2020-09-13T00:30:00+00:00,1,509,2053,-1
"【お知らせ】
「ホロライブEnglish」初配信リレー実施中
ラストを飾るタレントはWatson Amelia（ワトソン・アメリア）！

本日の朝8時から配信開始です

待機場所はこちら
https://youtube.com/watch?v=MXrFrkIlE-0…

#holoMyth #hololiveEnglish",#holoMyth #hololiveEnglish,2020-09-12T22:30:00+00:00,1,287,1073,-1
"【お知らせ】
「ホロライブEnglish」初配信リレー実施中
 朝のお目覚めのお供に、Gawr Gura（がうる・ぐら）の初配信はいかがでしょうか？

日本時間の朝6時から配信開始

待機場所はこちら
https://youtube.com/watch?v=dBK0gKW61NU…", ,2020-09-12T20:30:00+00:00,0,398,1425,-1
"【お知らせ】
「ホロライブEnglish」初配信リレー実施中
日付が変わりまして、 Ninomae Ina'nis（一 伊那尓栖【にのまえ いなにす】）の配信が始まります！

日本時間の朝4時から配信開始

待機場所はこちら
https://youtube.com/watch?v=ujCxiHpVYmg…", ,2020-09-12T18:30:00+00:00,3,354,1067,-1
"【お知らせ】
「ホロライブEnglish」初配信リレー実施中
続いては Takanashi Kiara（小鳥遊 キアラ【たかなし きあら】）！

今夜22時から配信開始です

待機場所はこちら
https://youtube.com/watch?v=uObh73QZUvg…

#holoMyth #hololiveEnglish",#holoMyth #hololiveEnglish,2020-09-12T12:30:00+00:00,3,561,2319,-1
"【#SorAZ 重大解禁(2)】
2020/9/22(祝・火)
「紅藍クロニクル」デジタル配信決定！

SorAZ、ときのそら、AZKi、instrumental ver.が収録！
AZKi自身が作詞作曲を担当！

※配信リンクは後日お知らせ致します。",#SorAZ,2020-09-12T11:04:04+00:00,1,312,835,-1
"【#SorAZ 重大解禁(1)】
2020/9/26(土)
「SorAZ Special Live 刹那的クロニクル」開催決定！

▼只今よりチケット発売！
https://virtual.spwn.jp/events/20092601-azki-tokino…

※配信限定のライブとなります。
※本ライブはチケット購入後、ライブ後〜10/26 23:59までアーカイブの視聴が何度でも可能となります。",#SorAZ ,2020-09-12T11:03:08+00:00,5,615,1598,-1
"【お知らせ】
「ホロライブEnglish」初配信リレーがまもなく開始
トップバッターはMori Calliope （森 美声【もり かりおぺ】）！

今夜20時から配信開始です

待機場所はこちら
https://youtube.com/watch?v=M1_GeIfn48M…

#holoMyth #hololiveEnglish",#holoMyth #hololiveEnglish,2020-09-12T10:30:00+00:00,0,780,2425,-1
