content,tags,posted_time,replies,retweets,likes,views
"新年あけましておめでとうございます
2020年はホロライブプロダクションへの多大なるご支援ご協力を賜り、誠にありがとうございます。
本年もより一層のご愛顧のほど宜しくお願い申し上げます。

24:30からは、番組最後の地獄が始まります…
http://youtu.be/CBTwb8jqJM8

#ゆくホロくるホロ2020",#ゆくホロくるホロ2020,2020-12-31T15:20:00+00:00,272,2663,11371,-1
"【いよいよ年越し直前】

23:00からは、ゆくホロくるホロ2020～ホロ晦日年越しカウントダウン～
http://youtu.be/CBTwb8jqJM8

メンバーから事前に募集していた煩悩を友人Aが浄化します。
リモートで集まった沢山のホロライブメンバーと一緒に2021年を迎えましょう",,2020-12-31T13:55:00+00:00,32,1866,8134,-1
"【受注再開】
#こえていくホロライブ 物販受注再開しています!
受付は21/1/11 23:59まで!

今回の機会を逃すと、再びお買い求めいただく事が出来なくなる為、まだの方はお早めに！

詳細 :  https://beyondthestage.hololive.tv/goods 

*ご注文の際はグッズを販売する各サイトの記載事項を必ずお読みの上ご注文下さい。",#こえていくホロライブ,2020-12-31T02:56:00+00:00,1,358,1877,-1
"新年あけましておめでとうございます
2020年はホロライブプロダクションへの多大なるご支援ご協力を賜り、誠にありがとうございます。
本年もより一層のご愛顧のほど宜しくお願い申し上げます。

24:30からは、番組最後の地獄が始まります…
http://youtu.be/CBTwb8jqJM8

#ゆくホロくるホロ2020",#ゆくホロくるホロ2020,2020-12-31T15:20:00+00:00,272,2663,11371,-1
"【 #こえていくホロライブ 】
20/12/21-22
「hololive 2nd fes. Beyond the Stage Supported By Bushiroad」
各プラットフォームにてアーカイブ配信中！
21/1/11 23:59まで何度でもアーカイブ視聴可能！

▼ニコニコ
https://secure.live.nicovideo.jp/event/hololive_2nd_fes…

▼SPWN",#こえていくホロライブ,2020-12-31T02:55:00+00:00,1,404,2259,-1
"【お知らせ】
『百花繚乱花吹雪』が配信されました
ぜひダウンロードいただき、ご視聴ください
https://hip.streamlink.to/HyakkaRyoranHanafubuki…

■歌唱メンバー : 白上フブキ, 百鬼あやめ, 大神ミオ

#ホロライブ9週連続リリース",#ホロライブ9週連続リリース,2020-12-30T15:00:02+00:00,32,2912,10428,-1
"【お知らせ】
響ラジオステーションで好評配信中の「ホロライブpresents Vのすこんなオタ活なんだワ！」第22回が更新

2020年最後の回は、#大神ミオ と #天音かなた がゲスト出演

視聴はこちら
https://bit.ly/2W1S6td 

#すこだワ #響ラジオ  #白上フブキ #宝鐘マリン",#大神ミオ #天音かなた #すこだワ #響ラジオ #白上フブキ #宝鐘マリン,2020-12-30T03:02:40+00:00,6,842,3945,-1
"【お知らせ】
「hololive IDOL PROJECT」による9週連続オリジナル楽曲第2弾『百花繚乱花吹雪』のリリックビデオが公開されました

また、iTunesでの予約注文も開始しております

是非ご視聴ください
https://youtu.be/K84w0Iai40k

#ホロライブ9週連続リリース",#ホロライブ9週連続リリース,2020-12-29T15:00:02+00:00,46,2353,8096,-1
"【 #こえていくホロライブ 】
12/21-22に開催された「hololive 2nd fes. Beyond the Stage Supported By Bushiroad」STAGE1-2のオフィシャルレポートを公開！

▼STAGE1
https://prtimes.jp/main/html/rd/p/000000346.000030268.html…

▼STAGE2
https://prtimes.jp/main/html/rd/p/000000347.000030268.html…

▼アーカイブ視聴は21/1/11 23:59まで！",#こえていくホロライブ,2020-12-29T13:00:01+00:00,7,733,3017,-1
"【商品情報】
「 #角巻わため 活動一周年記念グッズ」販売開始

「ふーみ先生描き下ろしラバーマット」&「わためぇ Night Fever！！ ストーンコースター」、そして1stアルバム「わためのうた vol.1」(音楽CD)をセットでご用意

販売ページはこちら
https://hololive.booth.pm/items/2606905",#角巻わため,2020-12-29T12:00:00+00:00,18,1765,7150,-1
