content,tags,posted_time,replies,retweets,likes,views
"#ゆくホロくるホロ年末年始デートボイス2023_2024 絶賛販売中！
フルサイズPVの公開開始！

2024年のボイス初めを、ぜひお楽しみください

販売ページ＆サンプルボイスはコチラ！
『ゆくホロ2023！』
https://shop.hololivepro.com/products/hololive_newyearsholidaydatevoice_closingoff2023…

『くるホロ2024！』",#ゆくホロくるホロ年末年始デートボイス2023_2024,2023-12-31T16:01:58+00:00,1,779,3952,139741
"お知らせ
「hololive Shuffle Medley 2024」のセットリストをプレイリストで公開中

ぜひたくさん聴いてくださいね

Spotify
https://open.spotify.com/playlist/07uvfxYyidJSnzeshbi08E?si=5932065e76dc4918…

Apple Music",,2023-12-31T15:38:03+00:00,9,922,3838,110307
"コラボ情報
「白上フブキYouTubeチャンネル」にて
「#白上フブキ」と「#周防パトラ」による3Dコラボ配信が決定

気になる詳細は続報をおまちください

白上フブキ YouTubeチャンネル
https://youtube.com/channel/UCdn5BQ06XqgXoAxIhbqw5Rg…

#フブパト3D",#白上フブキ #周防パトラ #フブパト3D,2023-12-31T15:36:44+00:00,74,2682,10302,613991
"ホロプラス情報
公式アプリ「#ホロプラス」にて
 #HoshimaticProject 連動
プレゼントキャンペーンがスタート

【ある合言葉】とともにライブの感想を書き込むと
豪華公式グッズが当たる

詳細はアプリで
iOS： https://apple.co/3txiHTE",#ホロプラス #HoshimaticProject,2023-12-31T15:35:05+00:00,0,534,2569,83209
" ˗ˏˋ 𝐡𝐨𝐥𝐨𝐥𝐢𝐯𝐞 × 𝐇𝐨𝐧𝐞𝐲𝐖𝐨𝐫𝐤𝐬 ˎˊ˗ 
2/28リリースNew Album
ほろはにヶ丘高校 -Originals- & -Covers-
クロスフェードデモを一挙公開

未公開楽曲のサビ部分が試聴可能
ぜひチェックしてみてください

■Originals
https://youtu.be/GQzOFLrwElI 

■Covers…",,2023-12-31T15:34:07+00:00,2,1300,4578,120641
"／
 #HoshimaticProject による
15曲目は「MY舞☆TONIGHT」 
＼ 
 #ホロライブカウントダウン2023  
を付けて呟いてください
  
出演者 
#星街すいせい、#ときのそら、
#アキ・ローゼンタール、#夏色まつり、",#HoshimaticProject #ホロライブカウントダウン2023 #星街すいせい #ときのそら #アキ・ローゼンタール #夏色まつり      ,2023-12-31T15:24:23+00:00,36,2500,10729,212338
"／
 #HoshimaticProject による
14曲目は「ショウタイム・ルーラー」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#大空スバル、#星街すいせい、#常闇トワ、
#沙花叉クロヱ 、#風真いろは",#HoshimaticProject #ホロライブカウントダウン2023 #大空スバル #星街すいせい #常闇トワ #沙花叉クロヱ #風真いろは ,2023-12-31T15:18:50+00:00,13,1234,5971,118380
"／
 #HoshimaticProject による
13曲目は「ハピチョコ」 
＼ 
 #ホロライブカウントダウン2023  
を付けて呟いてください
  
出演者 
#ときのそら、#アキ・ローゼンタール、#夏色まつり、
#星街すいせい、#桃鈴ねね、#博衣こより  ",#HoshimaticProject #ホロライブカウントダウン2023 #ときのそら #アキ・ローゼンタール #夏色まつり #星街すいせい #桃鈴ねね #博衣こより,2023-12-31T15:15:56+00:00,5,1205,5921,126336
"／
2024年の最初は「hololive Shuffle Medley 2024」
＼
今年はどんなシャッフルが…？

#ホロライブカウントダウン2023  
を付けて呟いてください
  
配信はコチラ！
 https://youtube.com/live/DzP0jXgOC4I…  ",#ホロライブカウントダウン2023 ,2023-12-31T15:00:17+00:00,6,1450,6039,118132
"／
年越しは「#ホロぐら」カウントダウン特別編
＼
ホロライブ全メンバーが出演
年越しの瞬間を一緒に過ごそう！

#ホロライブカウントダウン2023  
を付けて呟いてください
  
配信はコチラ！",#ホロぐら #ホロライブカウントダウン2023 ,2023-12-31T14:53:05+00:00,5,1048,4682,117931
"／
12曲目は「アイドル」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#ときのそら、#ベスティア・ゼータ、#IRyS

配信はコチラ！",#ホロライブカウントダウン2023 #ときのそら #ベスティア・ゼータ #IRyS ,2023-12-31T14:52:28+00:00,4,829,3451,112268
"／
11曲目は「強風オールバック」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#さくらみこ、#ラプラス・ダークネス、
#クレイジー・オリー",#ホロライブカウントダウン2023 #さくらみこ #ラプラス・ダークネス #クレイジー・オリー ,2023-12-31T14:48:07+00:00,24,1512,6962,795141
"／
10曲目は「オトナブルー」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#宝鐘マリン、#雪花ラミィ、
#獅白ぼたん、#七詩ムメイ",#ホロライブカウントダウン2023 #宝鐘マリン #雪花ラミィ #獅白ぼたん #七詩ムメイ ,2023-12-31T14:45:12+00:00,16,1112,4818,116335
"／
9曲目は「subtitle」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#ロボ子さん、#AZKi、
#ムーナ・ホシノヴァ、#一伊那尓栖",#ホロライブカウントダウン2023 #ロボ子さん #AZKi #ムーナ・ホシノヴァ #一伊那尓栖 ,2023-12-31T14:42:36+00:00,7,976,3961,96185
"／
8曲目は「Overdose」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#紫咲シオン、#鷹嶺ルイ、#こぼ・かなえる

配信はコチラ！",#ホロライブカウントダウン2023 #紫咲シオン #鷹嶺ルイ #こぼ・かなえる ,2023-12-31T14:36:38+00:00,21,1319,6164,155897
"／
7曲目は「KICKBACK」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#天音かなた、#尾丸ポルカ、#パヴォリア・レイネ

配信はコチラ！",#ホロライブカウントダウン2023 #天音かなた #尾丸ポルカ #パヴォリア・レイネ ,2023-12-31T14:33:20+00:00,19,1194,5147,133961
"／
6曲目は「第ゼロ感」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#角巻わため、#森カリオペ、#ハコス・ベールズ

配信はコチラ！",#ホロライブカウントダウン2023 #角巻わため #森カリオペ #ハコス・ベールズ ,2023-12-31T14:28:53+00:00,16,1319,5174,131253
"／
5曲目は「星座になれたら」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#夜空メル、#猫又おかゆ、
#アユンダ・リス、#カエラ・コヴァルスキア",#ホロライブカウントダウン2023 #夜空メル #猫又おかゆ #アユンダ・リス #カエラ・コヴァルスキア ,2023-12-31T14:25:35+00:00,7,1048,4055,99917
"／
4曲目は「花の塔」
＼
#ホロライブカウントダウン2023 
を付けて呟いてください

出演者
#白上フブキ、#大神ミオ、#不知火フレア、
#アーニャ・メルフィッサ",#ホロライブカウントダウン2023 #白上フブキ #大神ミオ #不知火フレア #アーニャ・メルフィッサ ,2023-12-31T14:20:43+00:00,9,1129,4517,130895
