content,tags,posted_time,replies,retweets,likes,views
"“PlayStation Store”公式応援団生放送のお知らせ

本日の放送
24日23時30〜 白上フブキ ペルソナ5 ダンシング・スターナイト

次回の放送
25日20時〜 大神ミオ 白上フブキ 紫咲シオン 地球防衛軍5

皆で #PSストア_スプリングセール2019 を盛り上げよう！",#PSストア_スプリングセール2019,2019-03-23T20:22:46+00:00,0,67,192,-1
"  〜本日(3/24)の配信予定〜
16:00〜湊あくあyou
20:00〜百鬼あやめyou
ロボ子さん&紫咲シオンyou
21:00〜大神ミオyou
赤井はあとyou
22:00〜湊あくあyou
23:00〜夏色まつりyou
23:30〜白上フブキyou
24:00〜さくらみこyou
夜空メル",,2019-03-23T20:20:20+00:00,8,151,426,-1
"春のそら祭り
商品の補充について

先程、品切れしていた商品が入荷いたしましたが、一部の商品には、現時点で品切れが発生しております。

追加の補充については決まり次第、ご連絡いたします。

#春のそら祭り",#春のそら祭り,2019-03-23T03:37:24+00:00,1,63,335,-1
"春のそら祭り　
商品の補充についてのお知らせ

商品の補充は
本日、店舗に商品が届き次第行われます。

お客様にはご了承を
いただけますと幸いです。

#春のそら祭り",#春のそら祭り,2019-03-23T01:11:22+00:00,4,70,305,-1
"22:00〜ロボ子さんyou
湊あくあyou
23:00〜癒月ちょこ（コラボ）you
24:00〜さくらみこyou
25:00〜癒月ちょこyou",,2019-03-22T16:47:16+00:00,0,66,179,-1
"  〜本日（3/23）の配信予定〜

11:00〜癒月ちょこyou
12:00〜湊あくあyou
14:00〜癒月ちょこ（コラボ）you
15:00〜夏色まつりyou
18:00〜赤井はあとbili
19:00〜紫咲シオンyou
湊あくあyou
赤井はあとyou
20:00〜 ", ,2019-03-22T15:41:07+00:00,13,156,458,-1
ホロライブでは、配信経験のある方向けのVTuberオーディションを随時開催中です！あなた専用のキャラクターをご要望をお聞きして制作し、提供します。ご応募お待ちしております！,,2019-03-22T13:47:24+00:00,5,143,289,-1
"ホロライブポップアップストア「春のそらまつり」
商品補充のお知らせ

明日に「完売しておりました全商品」が
AKIHABARAゲーマーズ様に補充されます。

週末はAKIHABARAゲーマーズにGOです！

#春のそら祭り",#春のそら祭り,2019-03-22T09:03:02+00:00,6,77,219,-1
"また、「TSUKUMO eX.」様で掲示されている
「ときのそら大看板」の掲示は、４月１４日（日）までとなっております。
秋葉原にお越しの際には、是非御覧ください！

#春のそら祭り",#春のそら祭り,2019-03-22T07:52:53+00:00,1,25,134,-1
"ホロライブポップアップストア「春のそらまつり」
商品補充のお知らせ

完売しました以下の商品は
明日、店頭に補充されます。

　缶バッジ全種
　アクリルスタンド百鬼あやめ
　でかキーホルダー百鬼あやめ
　でかキーホルダー夏色まつり　その他

週末はAKIHABARAゲーマーズにGOです！",,2019-03-22T07:49:30+00:00,13,141,447,-1
"“PlayStation Store”公式応援団生放送のお知らせ

本日の放送
19時〜紫咲シオン 地球防衛軍5
22時〜 白上フブキ 大神ミオ 百鬼あやめ 大空スバル Overcooked® 2

次回の放送
24日23時〜 白上フブキ ペルソナ5 ダンシング・スターナイト

皆で #PSストア_スプリングセール2019 を盛り上げよう！",#PSストア_スプリングセール2019,2019-03-21T21:06:14+00:00,0,106,330,-1
25:00〜癒月ちょこyou,,2019-03-21T20:58:55+00:00,0,57,175,-1
"  〜本日（3/22）の配信予定〜

12:00〜湊あくあyou
さくらみこyou
癒月ちょこyou
19:00〜紫咲シオンyou
20:00〜白上フブキyou
21:00〜 #ホロライブfams
22:00〜さくらみこyou
湊あくあyou
23:00〜湊あくあ",#ホロライブfams ,2019-03-21T20:58:44+00:00,10,133,374,-1
"春のそら祭り

以下の商品が完売いたしました。
現時点では「入荷未定」となります。

追加出荷・生産、通販開始については追って告知させていただきます。多数のご注文ありがとうございます。

完売
缶バッジ全種
百鬼あやめ　アクリルスタンド
百鬼あやめ　デカアクリルキーホルダー",,2019-03-21T10:12:49+00:00,11,113,451,-1
"春のそら祭り

待機列は解消いたしました。現在は自由にご来場いただけます。

また、特典ポストカードの配布は終了いたしました。ありがとうございました。

#春のそら祭り",#春のそら祭り,2019-03-21T07:34:31+00:00,0,61,319,-1
"春のそら祭り

以下の商品が完売いたしました。
現時点では「入荷未定」となります。

追加出荷・生産、通販開始については追って告知させていただきます。多数のご注文ありがとうございます。

完売
百鬼あやめ　アクリルスタンド

ラスト１
百鬼あやめ　デカアクリルキーホルダー",,2019-03-21T07:31:22+00:00,8,179,636,-1
"春のそら祭り　現在は商品の品切れはございません。

#春のそら祭り",#春のそら祭り,2019-03-21T06:17:01+00:00,2,48,256,-1
"春のそら祭り　フリー入場の整理券はAKIHABARAゲーマーズ本店１F入って左奥の階段付近で配布しております。入店の上列にお並び下さい。

朝お配りした入場券をお持ちの方は優先して入場できます。係員にお伝えください。

#春のそら祭り",#春のそら祭り,2019-03-21T06:15:44+00:00,1,28,187,-1
春のそら祭り　バーチャル売り子イベントの整理券は全て配布終了いたしました。皆様ありがとうございます。フリー入場の整理券は、ゲーマーズ店内１F入って左奥の階段で配布を開始しております。,,2019-03-21T06:14:09+00:00,3,44,208,-1
"春のそら祭り
入場規制のお知らせ

本日はご来場者様多数のため、ストアへの入場を一時規制させていただきます。

入場フリーになるのは15時近辺の見込みです。

整理券を持ちの方は指定の時間にご入場できます。

お客様にはご迷惑をおかけしまして大変申し訳ございません。何卒、ご了承下さい。",,2019-03-21T00:57:35+00:00,3,220,690,-1
"おはようございます。本日「春のそら祭り」初日です。ご来場者様多数のため、これより「入場順を決める抽選」を行います。スタッフの指示の通りに順番にお願いいたします。

#ホロライブ　#春のそら祭り",#ホロライブ #春のそら祭り,2019-03-21T00:28:59+00:00,0,75,282,-1
"“PlayStation Store”公式応援団 生放送のお知らせ

本日の放送
21日14時～　ときのそら with ロボ子さん,さくらみこ,友人A でパーティーゲーム三昧

次回の放送
22日22時〜 白上フブキ 大神ミオ 百鬼あやめ 大空スバルでOvercooked® 2 

皆で #PSストア_スプリングセール2019 を盛り上げよう！",#PSストア_スプリングセール2019,2019-03-20T20:32:43+00:00,0,105,332,-1
"22:00〜大神ミオyou
湊あくあ（コラボ）you
夏色まつり（コラボ）you
23:00〜湊あくあyou
アキロゼ&さくらみこyou
24:00〜夜空メルyou
25:00〜癒月ちょこyou",,2019-03-20T20:23:55+00:00,1,93,251,-1
"  〜本日（3/21）の配信予定〜
12:00〜癒月ちょこyou
湊あくあyou
13:00〜大空スバル&百鬼あやめ&大神ミオyou
14:00〜ときのそらyou
18:00〜大神ミオyou
19:00〜赤井はあとyou
20:00〜白上フブキ（コラボ）you
21:00〜赤井はあと&ロボ子さん&夏色まつりyou
 #ホロジュール",#ホロジュール,2019-03-20T20:21:40+00:00,6,143,375,-1
"ホロライブ初のポップアップストア「春のそら祭り」いよいよ、明日から、AKIHABARAゲーマーズ様で始まります。よろしくお願いいたします。
https://gamers.co.jp/shop/museum/110311/…
#ホロライブ　#春のそら祭り",#ホロライブ #春のそら祭り,2019-03-20T13:43:41+00:00,2,252,721,-1
"3月22日（金）20時より、白上フブキ（
@shirakamifubuki
）の公式3Dモデルのお披露目放送を行います。そして、放送中に重大発表も行なう予定です。ぜひご注目ください。

#ホロライブ #白上フブキ
https://youtube.com/channel/UCdn5BQ06XqgXoAxIhbqw5Rg…",#ホロライブ #白上フブキ,2019-03-20T11:12:15+00:00,81,1221,2591,-1
"“PlayStation Store”公式応援団 生放送のお知らせ

本日の放送
20日22時～　白上フブキ ACE COMBAT7

翌日の放送
21日14時～　ときのそら with ロボ子さん,さくらみこ,友人A でパーティーゲーム三昧！

皆で #PSストア_スプリングセール2019 を盛り上げよう！",#PSストア_スプリングセール2019,2019-03-20T10:44:01+00:00,1,113,329,-1
"バーチャル売り子参加券の配布について

参加券は、AKIHABARAゲーマーズ本店様で
ホロライブ関連商品5000円購入・予約いただいたお客様に、
「先着順」でお配りします。
3/21は店舗の入場順を決める「事前抽選」が行われます。
9:00～9:30までの間に本店前にお越し下さい。
https://gamers.co.jp/shop/event/110072/…",,2019-03-20T04:36:48+00:00,0,71,192,-1
"3/24にホロライブメンバーと楽しくお話ができる
「バーチャル売り子イベント」を開催します。
時間はお一人様１分、
参加券の配布は3/21から始まります。
（続きます）",,2019-03-20T04:32:46+00:00,0,50,226,-1
"23:00〜湊あくあyou
夏色まつりyou
23:30〜癒月ちょこyou
24:00〜ロボ子さんyou
さくらみこyou
25:00〜癒月ちょこyou",,2019-03-19T21:01:12+00:00,1,77,196,-1
"  〜本日（3/20）の配信予定〜
12:00〜癒月ちょこ（コラボ）you 
アキロゼ&さくらみこyou
18:00〜癒月ちょこyou
19:00〜赤井はあとyott
湊あくあyou
20:00〜紫咲シオンyou
大神ミオyou
21:00〜ロボ子さんyou
22:00〜癒月ちょこ（コラボ）you
白上フブキ",,2019-03-19T20:59:30+00:00,7,128,316,-1
