content,tags,posted_time,replies,retweets,likes,views
"【商品情報】
「#ホロスターズ 夏衣装アクリルスタンド」が販売開始

新登場の3期生に加え、2020年8月に販売した1・2期生 も再販売いたします

この機会に、ぜひお買い求めください

ページはこちら
https://hololive.booth.pm/items/3154843",#ホロスターズ,2021-08-10T12:15:00+00:00,4,1203,4224,-1
"【お知らせ】
本日8月10日（火）発売の、「#アニメディア」9月号の「ああっバーチャルさまっ（仮）」に「#癒月ちょこ」のインタビュー記事が掲載されます

彼女の魅力がたっぷりつまった記事になっておりますので、ぜひご購読ください

#ホロライブ",#アニメディア #癒月ちょこ #ホロライブ,2021-08-10T03:23:17+00:00,3,553,2913,-1
"【お知らせ】
「ホロライブプロダクション」所属タレントの様々なシチュエーションを妄想するプライズシリーズ『#hololive IF』を、バンプレストブランドで展開開始

本企画第1弾のグッズがネットクレーンモール「#とるモ」より登場

詳細はこちら
https://prtimes.jp/main/html/rd/p/000000479.000030268.html…",#hololive #とるモ ,2021-08-10T03:02:39+00:00,28,2195,8152,-1
"【商品情報】
「#ホロスターズ 夏衣装アクリルスタンド」が販売開始

新登場の3期生に加え、2020年8月に販売した1・2期生 も再販売いたします

この機会に、ぜひお買い求めください

ページはこちら
https://hololive.booth.pm/items/3154843",#ホロスターズ,2021-08-10T12:15:00+00:00,4,1203,4224,-1
"【商品情報】
「#湊あくあ 活動三周年記念」のグッズが販売開始

トモセシュンサク先生イラストの「湊あくあ 3rd Anniversary 複製原画」や枷先生イラストの「Aquacat.Tシャツ」、「Aquacat.キーホルダー」など盛りだくさん

ページはこちら
https://hololive.booth.pm/items/3167052",#湊あくあ,2021-08-09T12:35:00+00:00,37,2051,7861,-1
"【商品情報】
「#湊あくあ 超BIGぬいぐるみ」が好評につき再生産
が決定いたしました

前回買いそびれてしまったという方は、この機会に、ぜひお買い求めください

ページはこちら
https://hololive.booth.pm/items/3158175",#湊あくあ,2021-08-09T12:00:01+00:00,24,2009,7866,-1
"【商品情報】
「#白銀ノエル 活動二周年記念記念」のグッズが販売開始

「わたお先生イラスト 抱き枕カバー」や「記念ボイス」をご用意いたしました

「活動二周年記念フルセット」には、数量限定ver.もございますのでお見逃しなく 

ページはこちら",#白銀ノエル,2021-08-08T13:00:01+00:00,24,1711,8230,-1
"【商品情報】
「#常闇トワ 誕生日記念2021」のグッズが販売開始

「Guchico先生イラスト 抱き枕カバー」や「ビビモチーフ スマホベルト」をご用意いたしました

「誕生日記念フルセット」には素敵な特典も付属いたします

販売ページはこちら
https://hololive.booth.pm/items/3118698",#常闇トワ,2021-08-08T12:00:00+00:00,13,1924,8542,-1
"【#ホロぐら 更新】
#紫咲シオン の手品に感動する #桃鈴ねね
でもこの魔法使い、手品よりもすごいこといくらでもやれちゃうんじゃ……

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」公開
感想は #ホロぐら でお待ちしております

動画の続きはコチラ
https://youtu.be/6HI6L2Y2Ry4",#ホロぐら #紫咲シオン #桃鈴ねね #ホロライブ #ホロぐら,2021-08-08T09:00:22+00:00,32,2446,10190,-1
"【商品情報】
「#不知火フレア 活動二周年記念」のグッズが販売開始

「lack先生イラスト B2タペストリー」や「サクミチ先生イラスト BIGメガネ置きアクリルスタンド」、「ウォールマグ」、「記念ボイス」をご用意いたしました

ページはこちら
https://hololive.booth.pm/items/3153839",#不知火フレア,2021-08-07T13:00:01+00:00,17,1731,8178,-1
