content,tags,posted_time,replies,retweets,likes,views
VTuberオーディションにご応募頂いた皆様をお待たせしております。合格者の方へ結果を随時お送りさせて頂いておりますが、非常に沢山の方にご応募頂いたため、審査にお時間を頂いております。よろしくお願いいたします。,,2018-05-19T07:45:44+00:00,3,23,70,-1
VTuberオーディションにご応募頂いた皆様をお待たせしております。合格者の方へ結果を随時お送りさせて頂いておりますが、非常に沢山の方にご応募頂いたため、審査にお時間を頂いております。よろしくお願いいたします。,,2018-05-18T08:38:47+00:00,10,305,1757,-1
【ホロライブVTuberオーディション】ただいま審査中です。ちょっと待ってね！ #バーチャルYouTuber #VTuber,#バーチャルYouTuber #VTuber,2018-05-18T07:29:58+00:00,44,598,3418,-1
#ときのそら生放送 の後は #メル生放送 をお楽しみください！,#ときのそら生放送 #メル生放送,2018-05-17T12:04:52+00:00,0,14,43,-1
【ホロライブVTuberオーディション】ただいま審査中です。ちょっと待ってね！ #バーチャルYouTuber #VTuber,#バーチャルYouTuber #VTuber,2018-05-16T06:37:50+00:00,0,123,585,-1
ロボ子さんの生放送始まりました！,,2018-05-14T12:13:34+00:00,0,7,23,-1
新人VTuber夜空メルちゃん、見逃した方は是非ご覧ください！ #Vtuber #バーチャルYouTuber,#Vtuber #バーチャルYouTuber,2018-05-13T14:45:59+00:00,0,11,43,-1
只今、生放送中です！メルちゃんは、手が動く&表情が変わりますので、お見逃しなく！ #バーチャルYouTuber #VTuber,#バーチャルYouTuber #VTuber,2018-05-13T13:34:15+00:00,0,23,48,-1
今夜の夜空メルちゃんのライブ配信ページはこちらです！,,2018-05-13T10:43:15+00:00,0,15,40,-1
"VTuberになれるスマートフォンアプリ「ホロライブ」を使ってライブ配信を中心に活動する専属バーチャルライバーが始動、
@ayamy_garubinu
 さんが生みの親の「夜空メル」 
@yozoramel
 が先行デビューします。本日ライブ配信予定です！ #バーチャルYoutuber #VTuber",#バーチャルYoutuber #VTuber,2018-05-13T07:25:11+00:00,2,454,1141,-1
【最終日！VTuberオーディション】VTuber向け配信アプリ「ホロライブ」で開催中の専属VTuberオーディションですが、応募期間が今日で最後となりました。あなたのご応募お待ちしてます！ https://hololive.tv/audition     #VTuber #バーチャルYouTuber,#VTuber #バーチャルYouTuber,2018-05-13T00:23:56+00:00,0,81,216,-1
PC版もありますが、現在は一般には公開させて頂いておりません。,,2018-05-11T08:01:39+00:00,0,1,1,-1
"【VTuberオーディション応募キャラクター】凪白みと 
@lemon_mito
 さん担当の白髪ケモミミの女子高生、白上フブキちゃんです。あなたならどんな感じで活動してみたいですか？応募はこちらからどうぞ！ https://hololive.tv/audition    #VTuber #バーチャルYouTuber",#VTuber #バーチャルYouTuber,2018-05-09T07:17:05+00:00,10,579,1461,-1
"【VTuberオーディション応募キャラクター】安曇アキタケ 
@akitake_a
 さん担当の異世界から来た女子高生、アキ・ローゼンタールちゃんです。あなたならどんな感じで活動してみたいですか？応募はこちらからどうぞ！ https://hololive.tv/audition   #VTuber #バーチャルYouTuber",#VTuber #バーチャルYouTuber,2018-05-07T08:37:01+00:00,0,129,281,-1
ホロライブ運営では、動画制作をお手伝い頂けるクリエイター、学生インターンの方を募集中です。動画の企画ができる方、編集スキルが高い方は優先いたします。VTuberに情熱のある方のご応募お待ちしています！,,2018-05-07T05:40:16+00:00,0,71,99,-1
あん肝は食べられてなくて、埋まってる #バーチャルYouTuber人狼,#バーチャルYouTuber人狼,2018-05-05T12:26:55+00:00,2,86,206,-1
あん肝は埋まってる #バーチャルYouTuber人狼,#バーチャルYouTuber人狼,2018-05-05T11:12:57+00:00,6,156,315,-1
"【VTuberオーディション応募キャラクター】皆村春樹 
@halllki
 さん担当のチア部の新入生キャラ、夏色まつりちゃんです。あなたならどんな感じで活動してみたいですか？応募はこちらからどうぞ！ https://hololive.tv/audition  #VTuber #バーチャルYouTuber",#VTuber #バーチャルYouTuber,2018-05-05T05:31:48+00:00,0,126,323,-1
"【VTuberオーディション応募キャラクター】はる雪 
@haruyuki_nijyou
 さん担当の生意気な後輩キャラ、赤井はあとちゃんです。あなたならどんな感じで活動してみたいですか？応募はこちらからどうぞ！ https://hololive.tv/audition #VTuber #バーチャルYouTuber",#VTuber #バーチャルYouTuber,2018-05-03T02:53:53+00:00,1,252,530,-1
【VTuberオーディション開催】VTuber向け配信アプリ「ホロライブ」では、VTuberになりたい個人の方を対象としたオーディションを開催します！応募期限は5月13日です。ご応募おまちしております！ https://hololive.tv/audition #VTuber #バーチャルYouTuber,#VTuber #バーチャルYouTuber,2018-05-02T07:16:05+00:00,0,174,178,-1
"【バーチャルYouTuberオーディション情報】こんな感じの生意気な後輩を、はる雪 
@haruyuki_nijyou
 さんにデザインをお願いしています。オーディションはいよいよ明日から開始予定です！ #VTuber #バーチャルYouTuber",#VTuber #バーチャルYouTuber,2018-05-01T03:50:09+00:00,4,263,660,-1
"【バーチャルYouTuberオーディション情報】こんな感じの元気っ子を、皆村春樹 
@halllki
 さんにデザインをお願いしています。オーディションはいよいよ今週から開始予定です！ #VTuber #バーチャルYouTuber",#VTuber #バーチャルYouTuber,2018-04-29T09:52:33+00:00,2,195,487,-1
誤植しました。Android版既にリリースしていまして、月曜日にアップデート予定です。,,2018-04-21T02:40:12+00:00,0,0,3,-1
iPhone版ホロライブをアップデートし、動作が軽くなった他、iPhone X以外でも口の開閉を表情認識に対応しました。是非お試しください！Android版は月曜日にリリース予定です。,,2018-04-21T01:54:35+00:00,3,77,126,-1
ご利用ありがとうございます！Live2Dさんではなく、カバー株式会社にて運営させて頂いております。Live2Dさんからは、ホロライブのアプリ内の2Dのキャラクター2体を活用させて頂いております。どうぞよろしくお願いいたします。,,2018-04-14T09:31:21+00:00,0,0,2,-1
4/17発売の「バーチャルYouTuberはじめてみる」にシロちゃん達と一緒に表紙を飾っています。バーチャルYouTuber始めてみましょう！ https://amazon.co.jp/dp/4309286739,,2018-04-12T01:12:51+00:00,0,184,293,-1
現在はアプリ内に録画機能がありません。iPhoneの場合にはOSの画面収録機能をAndroidの場合には別の録画用アプリをご活用ください。,,2018-04-11T08:29:46+00:00,0,1,1,-1
"【バーチャルYouTuberオーディション情報】白髪ケモミミ女子高生はお好きですか？こんな感じのケモミミの子を凪白みと 
@lemon_mito
 さんにデザインをお願いしています。あなたはどちらの色がお好みですか？",,2018-04-11T04:41:23+00:00,79,682,1662,-1
こちらの方法で配信できますので、是非お試しください！ https://about.moi.st/ja/2017/11/30/screencast/…,,2018-04-11T01:48:47+00:00,0,0,2,-1
【ときのそら新衣装シルエット公開】ときのそら新衣装プロジェクトも着々と進行しています。驚きの担当イラストレーターさんの情報は新衣装での動画・ライブ配信に合わせて行う予定です。横アリまで止まるんじゃねぇぞ！,,2018-04-10T03:23:26+00:00,41,853,1728,-1
