content,tags,posted_time,replies,retweets,likes,views
"商品情報
「#宝鐘マリン(
@houshoumarine
)活動4周年記念」グッズ販売開始

あかさあい先生描き下ろし「ビッグタオル」、その他「トートバッグ」、「スマホグリップ」、「宝鐘クマリンぬいぐるみ」をご用意いたしました

お楽しみに

販売ページ",#宝鐘マリン ,2023-11-12T13:00:00+00:00,29,1550,6419,249518
"#兎田ぺこら 1stソロライブ
1st兎田ぺこらいぶ「うさぎ the MEGAMI!!」

ぺこらノート〜ライブ成功への道〜

すてきな衣装をつくってもらう！

特設サイトはこちら
https://pekora1stlive.hololivepro.com",#兎田ぺこら  ,2023-11-12T10:30:00+00:00,63,1275,5477,230578
"#常闇トワ1stソロライブ 

常闇トワ 1stソロライブ “Break your ×××“  
配信チケットが購入できるのは
明日11月13日(月)21:00まで！ 

みなさまお見逃しなく  

配信チケット購入はこちら 
Z-aN：https://zan-live.com/live/detail/10315… 
SPWN：",#常闇トワ1stソロライブ ,2023-11-12T10:00:01+00:00,4,418,2260,107319
"【ホロぐら更新】
#こぼ・かなえる が事務所の上に灯台を建てた！
#鷹嶺ルイ は灯台連合の実力に圧倒されるが…！？

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」公開
感想は #ホロぐら でお待ちしております

動画の続きはコチラ
https://youtu.be/m-yQxfwK7f8",#こぼ・かなえる #鷹嶺ルイ #ホロライブ #ホロぐら,2023-11-12T09:01:46+00:00,27,1580,6715,344257
"#兎田ぺこら 1stソロライブ

第二弾ライブグッズ購入は明日まで

一部グッズの実物写真を先行公開します
ライブコンセプトに沿ったデザインで、思い出の品としてピッタリ

販売期間
11/13 18時まで",#兎田ぺこら  ,2023-11-12T03:30:00+00:00,10,560,2939,165955
"#兎田ぺこら 1stソロライブ
1st兎田ぺこらいぶ「うさぎ the MEGAMI!!」

現地来場チケット2次先行の入金締切は
本日11月12日(日) 23:00まで

特設サイトはこちら
https://pekora1stlive.hololivepro.com

#うさメガぺこら　#全人類兎化計画",#兎田ぺこら #うさメガぺこら #全人類兎化計画,2023-11-12T03:00:00+00:00,5,294,1875,110606
"商品情報
「#桃鈴ねね(
@momosuzunene
)３Dライブ開催記念」グッズ販売開始

西沢5㍉先生描き下ろし「ねね推しはっぴ」、「ねっ子ぬいぐるみver.2023」2種類、「シチュエーションボイス」をご用意

フルセット特典も必見

販売ページ
https://shop.hololivepro.com/products/momosuzunene_3dlive_2023…",#桃鈴ねね ,2023-11-11T13:18:49+00:00,27,1731,7950,351284
"商品情報
「#アルランディス(
@arurandeisu
)誕生日記念2023」のグッズが販売開始

lack先生描き下ろし「アクリルパネル」「缶バッジ」や、「エンブレムキーホルダー」「冬でもあったかバーニンくんニット帽」をご用意

商品ページ
https://shop.hololivepro.com/products/arurandeisu_bd2023…",#アルランディス ,2023-11-11T12:00:01+00:00,3,511,1981,531866
"ホロライブインドネシアから #こぼ・かなえる が登場！
雨を自在に操る強力な能力でいったい何を…？

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」は11/12(日)の18時公開！ #ホロぐら

前回は #新ネタ入荷した 回
https://youtu.be/RnuEUum647Q",#こぼ・かなえる #ホロライブ #ホロぐら #新ネタ入荷した,2023-11-11T11:30:12+00:00,61,1669,8247,353313
"ホロライブプロダクション オフィシャルショップ in 東京駅情報

11月16日(木)～19日(日)　10：00～13：00 の
事前入店抽選の締め切りが間近

入店予約受付は11月12日(日) 23:59まで

受付URLはコチラ！
https://t.livepocket.jp/e/holo31",,2023-11-10T11:30:00+00:00,2,902,5046,265072
"新衣装お披露目配信のお知らせ
「#AZKi(
@AZKi_VDiVA
)」の3D新⾐装お披露⽬を、11月15日(水)20時より配信予定の『AZKi 5th Anniversary Live ""with U"" 』内で実施することが決定

ぜひチェックしてみてください

配信チャンネルはコチラ
https://youtube.com/channel/UC0TXe_LYZ4scaW2XMyi5_kw…

#ホロライブ",#AZKi #ホロライブ,2023-11-10T11:00:03+00:00,43,4286,17140,516823
"ASMRボイス販売 
「#AZKi」「#尾丸ポルカ」「#鷹嶺ルイ」のASMRボイスがそれぞれ販売開始

 各20分以上の癒しボイスが収録されているので、
ぜひチェックしてみてください  

販売ページはコチラ！
https://shop.hololivepro.com/collections/all?sort_by=manual&q=%22202311asmr%22…",#AZKi #尾丸ポルカ #鷹嶺ルイ ,2023-11-10T09:00:01+00:00,52,2700,10024,1327170
"お知らせ
#ときのそら × #AZKi のユニット #SorAZ
2024年1月27日(土)at CLUB CITTA’
Major Debut Live「First Gravity」

2次先行抽選販売開始

販売日時
11/19 23:59まで",#ときのそら #AZKi #SorAZ ,2023-11-09T12:09:46+00:00,10,1313,6291,387855
"#hololiveDEV_IS 公式配信情報

#ReGLOSS爆発対決
生き残るメンバーは誰だ

出演者
火威青、音乃瀬奏、一条莉々華、轟はじめ

配信日時
11月10日(金)19:00",#hololiveDEV_IS #ReGLOSS爆発対決,2023-11-09T10:00:02+00:00,32,1247,5900,866525
"#兎田ぺこら 1stソロライブ

現地来場チケット2次先行の当落が発表されました
当選された方はお手続きをお忘れなく

特設サイトはこちら
https://pekora1stlive.hololivepro.com

#うさメガぺこら　#全人類兎化計画",#兎田ぺこら #うさメガぺこら #全人類兎化計画,2023-11-09T06:00:00+00:00,23,442,2515,198955
"お知らせ
11/10(金)劇場公開 
映画『マーベルズ』公開を記念して

ホロライブ最凶の戌神ころねが最強の女ヒーロー「キャプテンマーベル」をご紹介

お楽しみに

11月9日(木)19時～
 ", ,2023-11-08T11:30:00+00:00,15,885,4571,427828
" 商品情報 
「#ベスティア・ゼータ (
@vestiazeta
)誕生日記念2023」グッズ販売開始

ラインナップ
・アクリルパネル
・Soft Bazo ぬいぐるみ
・Mini Bazo ネックレス
・マグカップ
・ボイス

誕生日記念グッズセット特典も必見",#ベスティア・ゼータ ,2023-11-07T13:40:00+00:00,23,1320,6523,361275
"ホロリーショップラインナップ更新 
『# ホロリー』にてXmasサンタ衣装が販売開始

　　　
第2弾、第3弾はこのメンバーの衣装が登場
　　　
  
さらに各弾全員の衣装をお得に購入出来る特別なセットも販売！ 
セットには背景も付属　  ",,2023-11-07T10:30:00+00:00,25,1579,7221,370155
"お知らせ
カバー株式会社の新オリジナルキャラクタープロジェクト、ゆるくて可愛い「もちぽよちゃん」リリース

マイペースでゆるっとかわいい、「もちぽよ」たちが繰り広げる物語をゆるっとお楽しみください

詳細はこちら
https://prtimes.jp/main/html/rd/p/000000994.000030268.html…",,2023-11-07T09:05:21+00:00,352,8040,22432,2394814
"#常闇トワ1stソロライブ

常闇トワ 1stソロライブ “Break your ×××“ 
アーカイブ配信終了まであと1週間！

配信チケットが購入できるのは11月13日(月)21:00まで
みなさまお忘れなく

配信チケット購入はこちら
Z-aN：https://zan-live.com/live/detail/10315… 
SPWN：",#常闇トワ1stソロライブ ,2023-11-06T09:00:00+00:00,3,541,3055,165307
"期間限定ショップのお知らせ
『東京キャラクターストリート』に「ホロライブプロダクション」の期間限定ショップが11月16日（木）よりオープン

「東京観光大使」に任命された3名の
描きおろしイラストグッズも販売予定

詳細はコチラ！
https://prtimes.jp/main/html/rd/p/000000988.000030268.html…",,2023-11-06T08:01:31+00:00,46,3826,13108,1312312
"３D公式番組情報
何も知らされず #急に集められた10人 
一体何が始まるのか… 

 カウントダウンライブの続報とか…

公開日時
11月6日(月)19:00  

待機所",#急に集められた10人 ,2023-11-06T07:30:00+00:00,202,4794,16133,3417505
