content,tags,posted_time,replies,retweets,likes,views
"【公式番組情報】
5/4劇場公開『#ドクターストレンジ ／マルチバース・オブ・マッドネス』とのタイアップ企画「#ホロストレンジ」

マーベル・スタジオ最新作の魅力が詰まった #ホロライブ 公式特別番組が、いよいよ明日公開

公開日時
5月3日(火)19時",#ドクターストレンジ #ホロストレンジ #ホロライブ,2022-05-02T10:08:12+00:00,21,2145,8434,-1
"【公式番組情報】
#10秒プレッシャーサバイバル

この後19時から

白上フブキの
10秒チャレンジプログラム

失敗＝即終了
プレッシャーの中で
協力しつつ生き残れ",#10秒プレッシャーサバイバル,2022-05-02T08:30:00+00:00,3,432,2109,-1
"【GWは #ホロGGW】
「ホロライブ・ゴールデンゲームウィーク」
チームメンバー＆ゲームタイトルをご紹介

「太鼓の達人 Nintendo Switchば～じょん！」
「つっぱり大相撲」

こちらの2タイトルにて実施
5/8(日)の大会本番に向けての各タレントの練習配信をチェック",#ホロGGW ,2022-05-02T04:00:00+00:00,10,1114,4513,-1
"【公式番組情報】
5/4劇場公開『#ドクターストレンジ ／マルチバース・オブ・マッドネス』とのタイアップ企画「#ホロストレンジ」

マーベル・スタジオ最新作の魅力が詰まった #ホロライブ 公式特別番組が、いよいよ明日公開

公開日時
5月3日(火)19時",#ドクターストレンジ #ホロストレンジ #ホロライブ,2022-05-02T10:08:12+00:00,21,2145,8434,-1
"【商品情報】
「 #荒咬オウガ 活動2周年記念」のグッズ販売開始

安野メイジ先生描き下ろし「アクリルスマホスタンド」「缶バッジ」や、「パスケース」「タンブラー」などをご用意しました

販売ページはこちら
https://shop.hololivepro.com/products/aragamioga_an2nd…

#ホロスターズ",#荒咬オウガ #ホロスターズ,2022-05-01T12:00:01+00:00,0,624,2197,-1
"【公式番組情報】
#10秒プレッシャーサバイバル

いよいよ明日

10秒の鬼
白上フブキが吠える

失敗＝即終了
プレッシャーの中で
協力しつつ生き残れ",#10秒プレッシャーサバイバル,2022-05-01T10:00:01+00:00,21,904,4278,-1
"【#ホロぐら 更新】
バード人間コンテストにジェットを持ち込む #大空スバル
もはや気合いの有無は関係ないのに、無駄にやる気満々です

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」公開
感想は #ホロぐら でお待ちしております

動画の続きはコチラ
https://youtu.be/UorTPrd0Mlg",#ホロぐら #大空スバル #ホロライブ #ホロぐら,2022-05-01T09:01:00+00:00,35,1843,7496,-1
"公式番組情報
「秘密結社のシークレットミーティング！」
デビュー直後に収録した秘蔵映像を解禁

配信日時
5月3日(火)20時

出演者
ラプラス・ダークネス、鷹嶺ルイ、博衣こより、沙花叉クロヱ、風真いろは
友人A（MC）",,2022-05-01T07:00:00+00:00,138,2758,11160,-1
"飛べ！ #大空スバル
湖で飛距離を競い合うアレです

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」は明日5/1(日)の18時公開

寿司を作る前回
https://youtu.be/qdaeGH3fJZo",#大空スバル #ホロライブ,2022-04-30T12:00:07+00:00,42,1045,4300,-1
"【商品情報】
「 #影山シエン 活動2周年記念」のグッズ販売開始

「ボスの手作り風 シエン組ぬいぐるみ」、シエン組のロゴを使用した「ピンバッジ」と「シュシュ」などこだわりのグッズをご用意しました

販売ページはこちら
https://shop.hololivepro.com/products/kageyamashien_an2nd…

#ホロスターズ",#影山シエン #ホロスターズ,2022-04-30T12:00:01+00:00,0,546,1973,-1
"動画投稿しました
【たかねるねるねるね】
#ホロのご機嫌うるわしゅう #23
【ホロライブ公式】

うるわしゅうに #鷹嶺ルイ が登場
得意のトーク術でホロメンのコミュ力向上を図る

動画はこちら
https://youtu.be/1gMSUL_Dj5o",#ホロのご機嫌うるわしゅう #鷹嶺ルイ  ,2022-04-30T10:30:00+00:00,11,791,4415,-1
"【公式番組情報】
#10秒プレッシャーサバイバル

普段ならできることも
プレッシャーがかかると…

10秒でいろいろチャレンジ
失敗＝即終了

出演者
白上フブキ、白銀ノエル、博衣こより、沙花叉クロヱ",#10秒プレッシャーサバイバル,2022-04-30T10:00:02+00:00,16,675,3324,-1
"【プレミア公開 24時開演】
今夏発売予定のホラーゲーム「hololiveERROR」の根幹となるストーリーが描かれる…

第11話「幽霊列車」
https://youtu.be/8CyVESdTVLg

あなたは、この列車に乗りますか…

感想は「#hololiveERROR」で投稿してください",#hololiveERROR ,2022-04-29T14:55:00+00:00,13,780,3335,-1
"【商品情報】
「#UPROAR!! デビュー記念」のグッズが発売開始 
「アクリルスタンド」「缶バッジ」「記念ボイス」などご用意しました

デビュー記念フルセット購入特典はキービジュアルを使用したポストカード

販売ページ
https://shop.hololivepro.com/products/uproar_debut…",#UPROAR ,2022-04-29T12:00:02+00:00,0,328,1431,-1
"【GWは #ホロGGW】
このあと19時から
「ホロライブ・ゴールデンゲームウィーク」チーム決め大抽選会

果たしてどんなチームが誕生するのか
大会で使用するゲームタイトルも発表
最後まで見逃せません

待機所
https://youtu.be/VhWhcXBCYHU",#ホロGGW,2022-04-29T09:00:03+00:00,6,1261,5219,-1
