content,tags,posted_time,replies,retweets,likes,views
"#ねぽらぼT4U  
ホロライブ5期生初の単独ライブ
「hololive 5th Generation Live “Twinkle 4 You”」
開催まであと日！

配信チケット購入はこちら
Z-aN：https://zan-live.com/live/detail/10291…
SPWN：https://spwn.info/3LAkYDA

特設サイトはこちら
 ",#ねぽらぼT4U,2023-07-03T11:00:01+00:00,46,2139,9161,410996
"#ねぽらぼT4U

15名様にオリジナルポスターが当たるライブレポート投稿コンテスト

#ねぽらぼT4U #ねぽらぼらいぶれぽ をつけて、「ライブレポート」をテーマに「Twitter」か「TikTok」に投稿してね

皆さんの渾身の作品をお待ちしています

詳細はこちら",#ねぽらぼT4U #ねぽらぼT4U #ねぽらぼらいぶれぽ,2023-07-03T05:30:27+00:00,4,1296,4426,889869
"お知らせ 
ホロライブEnglish全体ライブ
『hololive English 1st Concert -Connect the World-』 
ご覧いただいた皆様ありがとうございました
アーカイブは8/3(木) 15:59まで販売中です！

チケット 
https://connecttheworld.hololivepro.com/jp/tickets/  

#holoENConnect",#holoENConnect,2023-07-03T04:03:44+00:00,26,1850,7705,404551
"お知らせ 
ホロライブEnglish全体ライブ
『hololive English 1st Concert -Connect the World-』 
ライブ開催中

チケット 
https://connecttheworld.hololivepro.com/jp/tickets/  

グッズ
https://shop.hololivepro.com/products/hololiveen_1stconcert_2nd…",,2023-07-03T02:37:00+00:00,3,757,4039,219784
"お知らせ 
ホロライブEnglish全体ライブ
『hololive English 1st Concert -Connect the World-』 
本日AM11時よりいよいよスタート

チケット 
https://connecttheworld.hololivepro.com/jp/tickets/  

グッズ
https://shop.hololivepro.com/products/hololiveen_1stconcert_2nd…",,2023-07-03T00:30:00+00:00,2,1807,7357,603179
"お知らせ 
ホロライブEnglish全体ライブ
『hololive English 1st Concert -Connect the World-』 
ライブ の冒頭部分の無料チラ見せをYouTubeにて実施

視聴ページ
https://youtube.com/watch?v=-2H-WjJBWsA…

チケット 
https://connecttheworld.hololivepro.com/jp/tickets/  ",,2023-07-02T23:00:01+00:00,5,1725,7385,565922
"商品情報
「#大空スバル(
@oozorasubaru
)誕生日記念2023」グッズ販売開始

しぐれうい先生描き下ろし「キャンバスアート」や、「スバルドダックサマーぬいぐるみ」、「スバルドダックスマホリング」、「ハンドタオル」をご用意

販売ページ
https://shop.hololivepro.com/products/oozorasubaru_bd2023…",#大空スバル ,2023-07-02T13:00:01+00:00,14,1742,5604,465697
"#ねぽらぼT4U  
ホロライブ5期生初の単独ライブ
「hololive 5th Generation Live “Twinkle 4 You”」
開催まであと日！

配信チケット購入はこちら
Z-aN：https://zan-live.com/live/detail/10291…
SPWN：https://spwn.info/3LAkYDA

特設サイトはこちら
 ",#ねぽらぼT4U,2023-07-02T11:00:01+00:00,57,2818,11198,953373
"【ホロぐら更新】
ライブを控えた4人
虫さんの世界に生息しているようですが…？

#ホロライブ 所属VTuberの3Dアニメ「ホロのぐらふぃてぃ」公開
感想は #ホロぐら でお待ちしております

動画の続きはコチラ
https://youtu.be/dOdTtNiQqU4",#ホロライブ #ホロぐら,2023-07-02T09:01:53+00:00,15,2022,7397,598850
"#hololivesummer2023 MV・楽曲配信情報
『ホロライブ・サマー2023開会式』で初お披露目した『青春アーカイブ』アニメーションMVのプレミア公開はこの後すぐ！

ぜひチェックしてみてください

MVはコチラ
https://youtu.be/YzQCNmk3YYA",#hololivesummer2023,2023-07-01T13:31:13+00:00,109,14671,50438,3648290
