content,tags,posted_time,replies,retweets,likes,views
"1月23日木曜日
おはようございます！ #おはようホロライブ 木です。

hololive 1st fes.『ノンストップ・ストーリー』まで

あと日

それでは今日もホロライブをよろしくお願いします！",#おはようホロライブ,2020-01-22T22:52:40+00:00,136,1333,3359,-1
"【放送決定】

1/24 #とまらないホロライブ に向けて!

▼明日21時「みんなの考えた最強グッズ」 #ときのそら #夏色まつり #白銀ノエル
https://youtu.be/rERWLuTUpnQ

▼22時「ライブ直前、メンバー凸待ち!」 #えーちゃん
https://youtu.be/Y1pMXZG6t5Y

▼1/24視聴チケット発売中!",#とまらないホロライブ #ときのそら #夏色まつり #白銀ノエル #えーちゃん,2020-01-22T13:00:00+00:00,18,724,1756,-1
"【お詫びと訂正】
1/20発表の1/24 #とまらないホロライブ 「アクリルスタンド ３・４・５」価格に誤りがございました。

誤り→各¥5,000
訂正→各¥4,000

1/24当日注文票を持参するお客様は下記HP内画像をご活用下さい。
https://nonstop.hololive.tv/goods

ご迷惑をお掛け致しますが、宜しくお願い致します。",#とまらないホロライブ,2020-01-22T08:56:05+00:00,12,547,1207,-1
"1月23日木曜日
おはようございます！ #おはようホロライブ 木です。

hololive 1st fes.『ノンストップ・ストーリー』まで

あと日

それでは今日もホロライブをよろしくお願いします！",#おはようホロライブ,2020-01-22T22:52:40+00:00,136,1333,3359,-1
"【メンテナンス延長のお知らせ】
本日17:00終了を予定しておりましたが、ストアへの反映に時間を要しており延長させていただきます。ご迷惑をおかけして大変申し訳ございません。メンテナンス終了まで今しばらくお待ちください。
※ダウンロード済みのキャラクターは呼び出すことができます

#ホロリー",#ホロリー,2020-01-22T08:50:22+00:00,2,181,882,-1
"【お知らせ】

1/24 #とまらないホロライブ に向けて…

エキレビ！ 
@Excite_Review
 で #夏色まつり #癒月ちょこ #白銀ノエル 1〜3期生の夢みたい鼎談インタビュー前編公開！

▼記事はココ!
https://excite.co.jp/news/article/E1579617651806/…",#とまらないホロライブ #夏色まつり #癒月ちょこ #白銀ノエル,2020-01-22T03:05:00+00:00,2,581,1273,-1
"【放送決定】

1/24 #とまらないホロライブ 開催に先駆け、
1/23 22時〜1/24 18時 ニコニコ生放送でホロライブタレントの歌ってみた動画一挙放送決定！

▼放送はこちら
https://live2.nicovideo.jp/watch/lv323946908…

▼1/24 視聴チケット発売中!ポスター(抽選)が当たるプレゼント企画実施中!",#とまらないホロライブ,2020-01-22T03:00:00+00:00,13,853,1695,-1
"1月22日水曜日
おはようございます！ #おはようホロライブ です。

 #潤羽るしあ 誕生日 

hololive 1st fes.『ノンストップ・ストーリー』まで

あと日

それでは今日もホロライブをよろしくお願いします！",#おはようホロライブ #潤羽るしあ,2020-01-21T22:36:32+00:00,120,1664,4214,-1
"以前延期となりました #ホロDBD 配信日が1/28(火)に決定しました

ライブの後はみんなでDBD
一人一回キラーをプレイ
まったりオフコラボなゲーム配信です

前半20:00～【ニコニコ公式】
https://live2.nicovideo.jp/watch/lv323880607…
後半21:00～【チャンネル会員限定】
https://live2.nicovideo.jp/watch/lv323880550…",#ホロDBD ,2020-01-21T13:40:28+00:00,12,571,1469,-1
"【メンテナンス予告】
明日1月22日（水）13:00～17:00 にて「#ホロリー」のメンテナンスを実施いたします。ご不便をおかけいたしますが、何卒ご協力をお願いいたします。
※状況によりメンテナンス開始・終了時間が前後する場合がございます。

#ホロライブプロダクション",#ホロリー #ホロライブプロダクション,2020-01-21T11:34:30+00:00,5,185,847,-1
