content,tags,posted_time,replies,retweets,likes,views
"【お知らせ】
お正月に合わせて、「#hololy」で「おみくじ」がオープン

2022年1月1日～31日の間、「hololy」内でタレントがおみくじを引いてくれます

ぜひ、初詣や初日の出などのタイミングで、「hololy」を起動して運勢を占ってみましょう

#ホロライブ",#hololy #ホロライブ,2021-12-31T15:30:00+00:00,38,1743,7887,-1
"【謹賀新年】
あけましておめでとうございます
2022年も「#ホロライブ」は新曲や新衣装など盛りだくさんでお送りしてまいります

各コンテンツの詳細は、ぜひ動画をご確認ください

今年も #ホロライブ の応援、よろしくお願いいたします",#ホロライブ #ホロライブ,2021-12-31T15:00:16+00:00,420,9376,30970,-1
"【公式番組情報】
#ゆくホロくるホロ2021

この後18時から
年越し特大配信スタート

ホロライブメンバー大集合
豪華企画盛りだくさん

年に1度のこの機会に
ぜひ、ご覧ください",#ゆくホロくるホロ2021,2021-12-31T08:00:01+00:00,31,2674,8694,-1
"【お知らせ】
お正月に合わせて、「#hololy」で「おみくじ」がオープン

2022年1月1日～31日の間、「hololy」内でタレントがおみくじを引いてくれます

ぜひ、初詣や初日の出などのタイミングで、「hololy」を起動して運勢を占ってみましょう

#ホロライブ",#hololy #ホロライブ,2021-12-31T15:30:00+00:00,38,1743,7887,-1
"【お知らせ】
#C99 ホロライブプロダクション「set ready, hololive!」オリジナルグッズ事後通販のカレンダー商品2種は、お届け時期が4月を予定しておりますので、月日の始まりが2022年4月～2023年3月になります。

ご了承いただけますようお願い申し上げます。

#SR_hololive",#C99 #SR_hololive,2021-12-31T07:47:26+00:00,1,146,821,-1
"【ホロライブ #C99 】
コミックマーケット99が閉会いたしました

「set ready, hololive! 」ありがとうございました
スタッフ一同、心より感謝申し上げます

#SR_hololive  #ホロライブ",#C99 #SR_hololive #ホロライブ,2021-12-31T07:18:17+00:00,135,2215,13754,-1
"【お知らせ】
本日もたくさんの方に訪れていただきありがとうございました

C99「set ready, hololive!」オリジナルグッズ事後通販が本日「2021年12月31日（金）18時」より開始

この機会にぜひ、お買い求めください

#SR_hololive #C99",#SR_hololive #C99,2021-12-31T07:00:00+00:00,24,1298,5108,-1
"【お知らせ】
set ready, hololive! スペシャルサイレントムービー
「ホロライブ事務所の日常」が「set ready, hololive!」特設サイトで公開中

C99特設サイトはこちら
https://setreadyhololive.hololivepro.com

#SR_hololive #C99",#SR_hololive #C99,2021-12-31T06:00:01+00:00,20,1772,7016,-1
"【ホロライブ #C99 速報】
ご好評につき、「コミケセット」は完売いたしました。
お楽しみにしていたお客様には誠に申し訳ございません。

引き続き「ホロライブセット」は販売中となりますので、ぜひお買い求めくださいませ。

#SR_hololive",#C99 #SR_hololive,2021-12-31T02:46:24+00:00,0,165,831,-1
"【お知らせ】
まもなくコミックマーケット99の2日目が開催

是非ホロライブプロダクションブースにお立ち寄りください

ご好評につき、2日目の在庫数を増量いたしました
本日の商品購入制限は「お一人様、1商品3つまで」とさせていただきます

#SR_hololive #C99",#SR_hololive #C99,2021-12-31T00:00:00+00:00,3,981,5020,-1
"【この後22:15より】
毎月のホロライブ情報まとめを夜にお届け
12月の「#ホロライブ」 ニュースがわかった気になれる
 
「#ホロのこしかけ」 まもなくON AIR
 
公開日時
12月30日(木) 22:15 / 出演：友人A（えーちゃん）
 
放送はこちら",#ホロライブ #ホロのこしかけ,2021-12-30T12:30:00+00:00,3,353,2027,-1
"【公式番組情報】
#ゆくホロくるホロ2021

いよいよ明日は大晦日
年に１度の豪華特大配信

ホロライブメンバー大集合
いっしょに年越ししませんか

▼配信日時▼
12月31日（金）18:00〜

▼待機所▼",#ゆくホロくるホロ2021,2021-12-30T09:00:00+00:00,36,3359,10645,-1
"【広告掲載】
#ときのそらRolePlay #湊あくあソロライブ 両公演の広告が新宿サザンボードで掲載中

遠方にお住まいの方はこちらでご確認ください

掲出期間
12/30（木）〜 2022/1/14（金）

※駅及び駅員へのお問い合わせはご遠慮ください。",#ときのそらRolePlay #湊あくあソロライブ,2021-12-30T05:00:00+00:00,12,1534,7168,-1
"【お知らせ】
C99 ホロライブプロダクション「set ready, hololive!」が開催中

ホロライブプロダクションブースの様子を中継しちゃいます

オルタナティブや東京スカイツリーの描き下ろしイラスト、そしてset ready, hololive!キービジュアルなど、盛りだくさん

#SR_hololive #C99",#SR_hololive #C99,2021-12-30T04:00:01+00:00,35,2970,14905,-1
"【お知らせ】
「C99ホロライブセット（ショッパー・ステッカー付）」は、数量わずかでございますが、まだ在庫がございますので、ぜひお買い求めください。

#SR_hololive #C99",#SR_hololive #C99,2021-12-30T03:24:56+00:00,0,101,766,-1
"【ホロライブ #C99 速報】
「C99コミケセット（ショッパー・ステッカー付）」の本日分は完売いたしました。

お楽しみにしていたお客様には誠に申し訳ございません。

事後通販につきましては、追って詳細を発表いたしますので今しばらくお待ちくださいませ。

#SR_hololive",#C99 #SR_hololive,2021-12-30T03:01:11+00:00,4,202,925,-1
"【お知らせ】
set ready, hololive! スペシャルムービー
「hololive SUPER EXPO 2022 応援PV」が公開
「set ready, hololive!」特設サイトでも同時公開

詳細はこちら
https://youtu.be/ChE_bQauRv0

C99特設サイトはこちら
https://setreadyhololive.hololivepro.com",  ,2021-12-30T03:00:02+00:00,7,1586,5581,-1
"【ホロライブ #C99 速報】
「スバルのそば」は本日分は完売いたしました。
お楽しみにしていたお客様には誠に申し訳ございません。

#SR_hololive",#C99 #SR_hololive,2021-12-30T01:54:23+00:00,41,849,3520,-1
"【お知らせ】
本日開催しておりますC99において、予想より多くのお客様がご来場いただいている状況のため、当初予定していた一人当たりの販売部数の上限を「１商品2つまで」とさせて頂いておりましたが、「1商品1つまで」に変更させて頂きます。

何卒ご了承ください。
#SR_hololive #C99",#SR_hololive #C99,2021-12-30T01:23:29+00:00,0,621,2531,-1
"当日のブースはこちら！
4期生の壁面イラストを目印にお越しください！",,2021-12-30T00:22:25+00:00,5,798,3991,-1
"【お知らせ】
まもなくコミックマーケット99の1日目が開催

是非ホロライブプロダクションブースにお立ち寄りください
「企業ブース南4階 No.351」でお待ちしています
ホロライブプロダクションブース商品購入制限は
「お一人様、1商品2つまで」とさせていただきます

#SR_hololive #C99",#SR_hololive #C99,2021-12-30T00:00:00+00:00,19,1916,9777,-1
"【商品情報】
「#角巻わため 活動2周年記念」のグッズが発売開始

ふーみ先生描き下ろしジャケット「わためのうたvol.2」や「わためのうたvol.2制作秘話ブックレット」、小田沙耶佳先生描き下ろし「LEDアクリルスタンドライト」などをご用意

販売ページはこちら
https://shop.hololivepro.com/products/tsunomakiwatame_an2nd…",#角巻わため,2021-12-29T13:00:02+00:00,4,1124,4320,-1
