content,tags,posted_time,replies,retweets,likes,views
25:00〜癒月ちょこyou,,2018-12-31T19:26:28+00:00,1,47,133,-1
"  〜本日（1/1）の配信予定〜
12:00〜癒月ちょこyou
17:00〜大神ミオyou
18:00〜大空スバルyou
19:00〜癒月ちょこyou
20:00〜さくらみこyou
21:00〜紫咲シオンyou
22:00〜百鬼あやめyou
23:00〜夏色まつりyou
湊あくあyou
23:30〜癒月ちょこ",,2018-12-31T19:26:13+00:00,33,138,373,-1
"平成最後の正月も一緒にホロライブメンバーと過ごしませんか?
配信では見られないメンバーの顔が見れるかも！？
1月14日までの限定販売となっております！お買い求めお忘れないようにお願いします！！！！

販売・特設サイトは此方になります。
https://hololive.booth.pm/items/1147396",,2018-12-31T15:37:30+00:00,0,64,245,-1
"年越し配信をお楽しみ頂きありがとうございます！今年もホロライブ所属VTuberを応援頂きありがとうございました。
来年も運営、所属VTuber一丸となりまして、楽しい配信を提供してVTuber業界を盛り上げていきたいと思います。
引き続き応援どうぞよろしくお願いいたします！",,2018-12-31T14:53:06+00:00,72,235,1333,-1
"年末ホロライブ配信始まりました！
平成最後の正月はホロライブメンバーと過ごしませんか？
#年末ホロライブ",#年末ホロライブ,2018-12-31T13:14:25+00:00,0,49,145,-1
"こちらにときのそらちゃん出演しておりますのでみなさんぜひご覧くださいませ！

【2018-12-31 19:00開始】バーチャル大晦日2018〜みんなで年越しブイッとね！〜http://nico.ms/lv316618117?cp_webto=share_others_iosapp…",,2018-12-31T11:44:10+00:00,0,39,128,-1
"あくあちゃんの二万人記念放送です！おめでとうございます
ゲストにフブキちゃんとロボ子さんが！？
#湊あくあ生放送",#湊あくあ生放送,2018-12-31T10:23:39+00:00,0,20,101,-1
25:00〜癒月ちょこyou,,2018-12-31T19:26:28+00:00,1,47,133,-1
"  〜本日（12/31）の配信予定〜

6:00〜癒月ちょこyou
14:00〜大神ミオyou
15:00〜紫咲シオンyou
19:00〜湊あくあyou
20:00〜紫咲シオンyou
21:00〜ホロライブ年越しyou
21:30〜夏色まつりope",,2018-12-30T20:04:35+00:00,13,121,305,-1
"あくあちゃんがキノコを取るたびにテンションが上がるマリオカートやるようです！
しかもなんと今回は友人Aも一緒に！？
#湊あくあ生放送",#湊あくあ生放送,2018-12-30T13:05:38+00:00,0,17,75,-1
"本日のちょこ先生の放送は3万人記念放送です！
皆さんでお祝いしに行きましょう〜！
#癒月診療所",#癒月診療所,2018-12-30T13:04:34+00:00,0,7,48,-1
"こちらでときのそらの年内最後のときのそら放送をやっていますよ！
今年はいろいろなことがありましたね、年納めに観に行きましょう！
#ときのそら生放送",#ときのそら生放送,2018-12-30T11:38:42+00:00,0,19,103,-1
"  〜本日（12/30）の配信予定〜

15:00〜紫咲シオンyou
21:00〜大神ミオyou
22:00〜癒月ちょこyou
湊あくあ&友人Ayou
25:00〜癒月ちょこyou

#ホロジュール",#ホロジュール,2018-12-29T20:20:44+00:00,11,97,227,-1
"  〜本日（12/29）の配信予定〜

16:00〜大神ミオyou
20:00〜湊あくあyou
21:00〜紫咲シオンyou
癒月ちょこyou
22:00〜ロボ子さんyou
大空スバルyou
23:00〜百鬼あやめyou
25:00〜癒月ちょこyou",,2018-12-28T18:20:02+00:00,12,98,253,-1
"本日は紫咲シオンちゃんの1万人記念放送です！
初バイノーラル配信なので皆様是非イヤホと鼓膜の替えを用意して聞きに行ってくださいませ
#紫咲シオン #VTuber",#紫咲シオン #VTuber,2018-12-28T11:09:40+00:00,0,25,104,-1
"23:00〜夏色まつりyou
百鬼あやめyou
23:30〜癒月ちょこyou
25:00〜癒月ちょこyou",,2018-12-27T20:34:19+00:00,0,60,160,-1
"24:00〜湊あくあyou
25:00〜 白上フブキ& 癒月ちょこyou",,2018-12-26T21:04:27+00:00,0,59,143,-1
"  〜本日（12/27）の配信予定〜
11:00〜癒月ちょこyou
12:00〜湊あくあyou
19:00〜湊あくあyou
20:00〜ときのそら動画you
21:00〜大神ミオyou
22:00〜白上フブキ（外部コラボ）you
癒月ちょこyou
23:00〜夜空メルyou
癒月ちょこ（外部コラボ）you",,2018-12-26T21:03:15+00:00,13,116,263,-1
"いつも応援ありがとうございます！ #Twitterトレンド大賞
#ときのそら",#Twitterトレンド大賞 #ときのそら,2018-12-26T11:19:47+00:00,32,717,1833,-1
"本日は赤井はあとちゃんの新衣装が公開されます！！
衣装だけではなく何と髪型も変化…！？
ぜひ見に来てください、お楽しみに！
#はあとch #赤井はあと #VTuber",#はあとch #赤井はあと #VTuber,2018-12-26T10:09:23+00:00,0,19,99,-1
"昨日からホロライブに加入した 
@sakuramiko35
 ちゃんは、3,500人チャンネル登録突破で「オリジナル楽曲の制作」を目指して頑張ってきました。これから他のメンバーと一緒にホロライブを盛り上げていきますので、応援よろしくお願いします！
#さくらみこ",#さくらみこ,2018-12-26T02:40:19+00:00,3,95,308,-1
"  〜本日（12/26）の配信予定〜

12:00〜癒月ちょこ（コラボ）you
16:00〜百鬼あやめyou
18:00〜癒月ちょこyou
19:00〜赤井はあとyou
20:00〜ロボ子さんyou
21:00〜百鬼あやめyou
22:00〜白上フブキyou
癒月ちょこ（コラボ）you
23:00〜湊あくあ",,2018-12-25T22:22:38+00:00,9,120,261,-1
ロボ子さんとなきり嬢の晩酌鍋パ配信です！！！！　みなさん鍋とお酒の準備はできましたか？？？？？　クリスマスは二人とゆっくり鍋でもつつきながらすごしましょう！ #ロボ子生放送　#百鬼あやめch,#ロボ子生放送 #百鬼あやめch,2018-12-25T13:06:11+00:00,0,17,80,-1
まつりちゃんと平成最後のクリスマスいっしょにすごしませんか？まつりちゃんのクリスマスLIVE開催です！懐かしい歌も歌うそうなので是非放送に来てくださいね！　#夏まつch,#夏まつch,2018-12-25T13:04:25+00:00,0,10,59,-1
"テトラさんとまったりクリスマス雑談ッス！！！！彼女からどんな面白いクリスマスの体験談が出るか楽しみです！
#生スバル",#生スバル,2018-12-25T12:15:32+00:00,0,13,60,-1
"ちょこ先生とはあとちゃんのASMR配信です。二人からのクリスマスプレゼントって聞くとなんだか胸が熱くなりますね・・・・！
#癒月診療所  #はあとch",#癒月診療所 #はあとch,2018-12-25T11:34:41+00:00,0,14,56,-1
さくらみこちゃんのホロライブ 加入初生放送始まりました！凸にあのVTuberもやって来る！？ #さくらみこ生放送,#さくらみこ生放送,2018-12-25T11:14:49+00:00,0,21,82,-1
各演者ごとに感想ハッシュタグがあるので是非そちらの方で感想をつぶやいて頂けると助かります・・・！（タグがない場合は各演者の名前をいれてつぶやいて頂けると助かります。）,,2018-12-25T10:28:45+00:00,0,8,37,-1
"クリスマスはホロライブメンバーと一緒に楽しい夜をすごしませんか？
クリスマス＆正月ボイスBOOTHにて販売開始しています。
1月14日までの期間限定販売になっておりますので、お買い求め忘れのないようにお願いします!!!!! 
#ホロライブクリスマス
https://hololive.booth.pm/items/1147396",#ホロライブクリスマス,2018-12-25T10:23:45+00:00,4,57,143,-1
"ちょこ先生の家ではあとちゃんがクリスマスパーティしますよ！！！
金髪美女達のクリスマスパーティってなんだか夢がありますよね ...!
#はあとch #癒月診療所",#はあとch #癒月診療所,2018-12-25T10:21:32+00:00,0,13,64,-1
"あやめ譲とロボ子さんのオフコラボスマブラですよ！！！！！！！！隣にいる彼女達のコンビネーションに勝つことができるのか・・・！腕に自信がある方も、ない方も是非奮ってご参加ください！
#ろぼなきり",#ろぼなきり,2018-12-25T10:18:57+00:00,0,15,65,-1
"クリスマス座談会始まりました。ゲストはにじさんじの雪汝さんです！このコラボでどんな会話が繰り広げられるのか想像もつきませんね・・・！みなさんクリスマスですが集合ですよ！
#癒月診療所",#癒月診療所,2018-12-25T03:04:15+00:00,0,16,63,-1
"クリスマスはホロライブメンバーと一緒に楽しい夜をすごしませんか？
クリスマス＆正月ボイスBOOTHにて販売開始しています。
1月14日までの期間限定販売になっておりますので、お買い求め忘れのないようにお願いします!!!!! #ホロライブクリスマス",#ホロライブクリスマス,2018-12-25T02:57:52+00:00,1,57,197,-1
"YouTube日常系アニメ番組ブランド「ホロアニメ」が始動します！メインキャストとして、バーチャル巫女VTuber 
@sakuramiko35
 がホロライブに加入いたします。今後の番組をご期待ください！

フルはこちら↓
https://youtu.be/LBlA7zCxTMo

 #ホロアニメ",#ホロアニメ,2018-12-25T02:34:30+00:00,41,1363,2324,-1
"23:00〜大神ミオyou
25:00〜癒月ちょこyou",,2018-12-24T23:03:09+00:00,1,67,142,-1
"  〜本日（12/25）の配信予定〜

12:00〜湊あくあyou
癒月ちょこ（コラボ）you
16:00〜百鬼あやめyou
19:00〜癒月ちょこ&赤井はあとyou
20:30〜癒月ちょこ&赤井はあとyou
22:00〜夏色まつりyou
百鬼あやめyou
23:00〜ロボ子さんyou
癒月ちょこ",,2018-12-24T23:02:32+00:00,12,124,279,-1
"本日12/24はクリスマス放送が盛りだくさん！
こちらの放送もお見逃しなく！
21:00〜　ロボ子さんYouTubeコラボ生放送
https://youtu.be/fbn4095dbKE 
22:15頃〜 ときのそらニコニコch.会員限定 クリスマス生放送
http://live.nicovideo.jp/gate/lv317468678… 
#ロボ子生放送　#ときのそら生放送　#ホロジュール",#ロボ子生放送 #ときのそら生放送 #ホロジュール,2018-12-24T10:07:08+00:00,0,53,153,-1
"クリスマスはホロライブのメンバーと二人きりで過ごしませんか？
ホロライブ「クリスマス＆お正月ボイス」BOOTHにて販売を開始しました！
約１ヶ月の期間限定販売なのでお見逃しなく！
#ホロライブクリスマス
【ホロライブBOOTH】",#ホロライブクリスマス,2018-12-24T10:02:13+00:00,0,82,214,-1
"『ときのそらチャンネル』会員応募者全員プレゼント企画開催中！
チャンネル会員の皆様へ、そらサンタからの贈り物？　
会員限定『オリジナルCD』をプレゼント！
応募は12月27日（木）23:59まで！内容は歌？声？届いてみてのお楽しみだよ！　
#ホロライブクリスマス
https://ch.nicovideo.jp/tokinosora/event/ev16444…",#ホロライブクリスマス,2018-12-24T09:55:22+00:00,1,53,117,-1
"  〜本日（12/24）の配信予定〜

11:00〜癒月ちょこyou
12:00〜湊あくあyou
20:00〜紫咲シオンyou
21:00〜ロボ子さんyou
23:00〜夏色まつりyou
湊あくあyou
25:00〜癒月ちょこyou",,2018-12-23T20:17:34+00:00,13,102,253,-1
"ホロライブニュースの時間です！あのコンビが！？気になりますね！
#癒月診療所",#癒月診療所,2018-12-23T14:07:38+00:00,0,1,50,-1
"あやめちゃんの雑談配信です。なんと今日は重大発表があるそうです！気になりますね！
#百鬼あやめch",#百鬼あやめch,2018-12-23T14:04:59+00:00,0,6,65,-1
"スバルちゃんがそらちゃんにプレゼントを作ります。彼女のセンスにはいつも驚かされるので何が出来るのか楽しみですね！
#生スバル",#生スバル,2018-12-23T14:03:24+00:00,0,12,58,-1
"ロボ子さんのまったり雑談です！1230からちょこ先生とのコラボもあるのでそちらも是非～！
#ロボ子生放送",#ロボ子生放送,2018-12-23T13:10:55+00:00,0,10,49,-1
"休日に学校に集合だあああああああああああああああああああああああああああああああああああああああああああああ！いやだああああああああああああああああああああああ！
#湊あくあ生放送",#湊あくあ生放送,2018-12-23T10:10:44+00:00,0,20,144,-1
"シオンちゃんのマイクラ放送始まりました。無理せず温かくして寝ていいんですよ？
#紫咲シオン",#紫咲シオン,2018-12-23T05:46:31+00:00,0,24,166,-1
"  〜本日（12/23）の配信予定〜

12:00〜湊あくあyou
14:00〜紫咲シオンyou
16:00〜百鬼あやめyou
19:00〜湊あくあyou
20:00〜紫咲シオンyou
21:00〜癒月ちょこyou
22:00〜大神ミオyou
23:00〜癒月ちょこyou
百鬼あやめ",,2018-12-22T21:13:55+00:00,24,125,285,-1
日頃の疲れをあやめ嬢の歌声で癒してもらいましょう…！,,2018-12-22T14:07:11+00:00,0,9,65,-1
"フブキちゃんのゲリラマイクラです！今日はどんな建築をするのでしょうか？楽しみです！
#フブキch",#フブキch,2018-12-22T13:17:34+00:00,0,13,71,-1
"ピカブイでカイロスを厳選していきます！カイロスと言えばそう…ギロチン…！しつこく言いますが、ギロチンですね！！！
#ロボ子生放送",#ロボ子生放送,2018-12-22T13:16:13+00:00,2,19,94,-1
湊あくあの視点は諸事情により用意できていないので、音声のみお楽しみください・・・！！！！！,,2018-12-22T12:24:33+00:00,0,4,63,-1
"百鬼あやめ視点【https://youtube.com/watch?v=7tVaf3G7JGI…】
紫咲シオン視点【https://youtube.com/watch?v=HS-6swzaSJI…】
癒月ちょこ視点【https://youtube.com/watch?v=O7Ex_pPwXEg…】
大空スバル視点【https://youtube.com/watch?v=lKIFPvpJoHE…】
#ホロライブ二期生コラボ",#ホロライブ二期生コラボ,2018-12-22T12:23:15+00:00,1,16,58,-1
"ホロライブ2期生コラボはじまりました！果たしてどんなドラマが繰り広げられるのでしょうか・・・・！
先生一人で問題児達（？）を引率できるのか・・・・！",,2018-12-22T12:23:15+00:00,1,17,86,-1
#ホロライブ二期生コラボ,#ホロライブ二期生コラボ,2018-12-22T11:46:04+00:00,1,1,33,-1
"間もなく二期生コラボ開始です。
ハッシュタグは#ホロライブ二期生コラボでおねがいします！",,2018-12-22T11:45:22+00:00,1,23,91,-1
"重大発表があります！みなさんどんなことか予想して見に来てください！！！！
#癒月診療所",#癒月診療所,2018-12-22T11:02:40+00:00,0,20,87,-1
"一番の秀才は誰なんだ…！雪卍さんと卍組族長から危ない雰囲気が漂ってますが…果たしてクリアできるのでしょうか…？
#ホロゲマズコラボ",#ホロゲマズコラボ,2018-12-22T10:19:16+00:00,0,8,67,-1
"遅刻したので反省文です！私も名前を間違えてしまったので、一緒に書こうと思います。反省しているので是非放送も見に来てください！
#紫咲シオン",#紫咲シオン,2018-12-22T07:25:38+00:00,4,21,161,-1
"あやめ嬢のPUBG配信です！本鯖に雪山マップ実装されたので遊びに行きます！今日こそドン勝できるのでしょうか…！
#百鬼あやめch",#百鬼あやめch,2018-12-22T05:18:29+00:00,0,6,48,-1
"  〜本日（12/22）の配信予定〜

12:00〜湊あくあyou
ロボ子さんyou
14:00〜百鬼あやめyou
15:00〜夏色まつり（外部コラボ）you
16:00〜紫シオンyou
18:00〜癒月ちょこyou
19:00〜湊あくあ（外部コラボ）you
20:00〜癒月ちょこyou
21:00〜二期生コラボ",,2018-12-22T01:31:04+00:00,18,119,304,-1
"【ホロライブ二期生コラボ!!本日 21時START!!】

本日 21時〜は、ホロライブ二期生による
ホロライブクラフトコラボがスタート！
徐々に発展してきたこのワールドで
一体どんなドラマが繰り広げられるのか？

配信は、各メンバーのチャンネルで行います。",,2018-12-22T01:23:32+00:00,9,209,555,-1
"振り返り雑談です！色々ありましたね…ギロチンで３タテ…ギロチンで3タテ…ギロチンで3タテ…うっ…頭が…
#ロボ子生放送",#ロボ子生放送,2018-12-21T15:08:41+00:00,7,49,247,-1
"今日の患者さんは風宮まつりさんです！ちょこ先生の触診耐えられるでしょうか…
#癒月診療所",#癒月診療所,2018-12-21T13:10:37+00:00,0,6,46,-1
