content,tags,posted_time,replies,retweets,likes,views
すべての方のDMを受け付ける設定になっていまして、現状問題なく受け取れているのですが、一度試しに送って頂けないでしょうか？,,2018-04-03T01:35:45+00:00,0,0,0,-1
動画制作をお手伝い頂ける学生インターンを募集中です。都内オフィスに通勤できる方で、VTuberに情熱のある方、勤務日数の多い方が優先です。ご興味ある方は、DMにてご連絡ください！,,2018-04-03T01:25:40+00:00,0,213,226,-1
クリエイターの方の作品に、演者さんの魂を僕たちの技術で定着させる、そんなお仕事です！,,2018-03-23T14:58:07+00:00,0,13,22,-1
"ロボ子さんについて企業系VTuberだからクオリティ高いと勘違いされている方がいるのですが、クリエイターの 
@kuromaru9
 さんの自作3Dモデルのクオリティがハンパないからですからね！",,2018-03-23T14:26:48+00:00,2,30,67,-1
オリキャラが動くって、ロマンありますね。軽く死ねますね！,,2018-03-23T14:10:20+00:00,1,10,40,-1
ロボ子さん、生放送中です！,,2018-03-23T11:47:04+00:00,0,4,16,-1
近々、新規VTuberのオーディションを開催します。詳しい情報はこちらのアカウントで告知しますので、是非アカウントのフォローお願いします！,,2018-03-22T23:45:26+00:00,0,76,107,-1
新規VTuberのプロデュース業務をお手伝い頂ける大学生インターンを募集中です。都内オフィスに通勤できる方で、VTuberに情熱のある方、勤務日数の多い方が優先です。ご興味ある方は、DMにてご連絡ください！,,2018-03-22T13:36:41+00:00,0,58,67,-1
"ロボ子さん、壺男ゲーム実況中です！
https://youtu.be/JT_8GDS9H7M",,2018-03-18T12:21:46+00:00,0,6,8,-1
新規VTuberのデザインをお願いできる絵師さんを募集中です。ご興味ある方はDMにてご対応可能な納期と共にご連絡ください！,,2018-03-12T12:27:26+00:00,0,235,207,-1
"すみません、
@cover_corp
は運営を停止中ですので、何かありましたらこちらまでどうぞ。",,2018-03-11T13:40:00+00:00,0,3,2,-1
ロボ子さん、始動です！,,2018-03-04T08:06:06+00:00,1,20,30,-1
#ときのそら生放送 のご視聴ありがとうございました！ #ヘルシェイク矢野のこと考えてた に使っていいよ！ #ヘルシェイク矢野,#ときのそら生放送 #ヘルシェイク矢野のこと考えてた #ヘルシェイク矢野,2018-02-22T12:52:12+00:00,6,107,257,-1
"中国の春節のお祝い動画を投稿しました！
https://weibo.com/6478845633/G3fJ1mgdX?from=page_1005056478845633_profile&wvr=6&mod=weibotime&type=comment…",,2018-02-15T11:01:55+00:00,4,11,18,-1
今日も #ときのそら生放送 のご視聴ありがとうございました！遅くなりましたが、今日の #あん肝は埋まってる に使っていい画像です。お納めくださいm(__)m,#ときのそら生放送 #あん肝は埋まってる,2018-02-14T14:10:46+00:00,8,64,217,-1
#KizunaAI ちゃんの生放送の後は、 #ときのそら生放送 をお楽しみください！ https://youtube.com/watch?v=sP-Ym3uEtec…,#KizunaAI #ときのそら生放送,2018-02-14T11:29:29+00:00,0,3,7,-1
今日もライブ視聴ありがとうございます！あん肝は埋まっているに使って良いよ！ #ときのそら生放送 #あん肝は埋まってる,#ときのそら生放送 #あん肝は埋まってる,2018-02-08T12:13:17+00:00,11,89,270,-1
今日もライブ視聴ありがとうございます！ご自由にあん肝をお埋めください。 #ときのそら生放送 #あん肝は埋まってる,#ときのそら生放送 #あん肝は埋まってる,2018-02-01T11:37:14+00:00,4,92,190,-1
hololiveにてIA&ONEさんの生誕祭を配信いたします。乞うご期待ください！※アプリ側での視聴には対応しておりませんので、ご了承ください。,,2018-01-25T12:39:05+00:00,1,7,10,-1
ロボ子さんのキャスト募集を一旦締め切らせて頂きました。hololiveとしての募集は引き続き行っていますので、是非ご応募ください！,,2018-01-25T01:03:43+00:00,1,11,17,-1
#KizunaAI ちゃんのライブの後は、是非ときのそらチャンネルのライブ配信をお楽しみください！ https://youtu.be/IlQECkjfATk,#KizunaAI,2018-01-18T11:26:36+00:00,0,4,4,-1
YouTubeLiveのサムネイルが上手く変更されず、1/11のサムネイルが表示されています。何卒ご理解の程どうぞよろしくお願いいたします。,,2018-01-18T11:12:49+00:00,0,0,2,-1
【募集】バーチャルアイドルとしてライブ配信してみたい方を募集中！自分の声でライブ配信・投稿活動の実績がある方が条件です。ご興味のある方は是非ご応募ください！ https://goo.gl/forms/98H2CNELgjXYJ9rY2…,,2018-01-18T00:06:20+00:00,0,116,130,-1
そらちゃんのMMD化をお手伝い頂ける方を緩募しています。,,2018-01-16T06:04:00+00:00,3,41,55,-1
#hololive 運営ではインフラエンジニアを募集しています。ご興味のある方はDMにてお知らせください。,#hololive,2018-01-07T09:44:14+00:00,0,4,9,-1
#hololive はAR非対応のiPhone、Androidへの対応も進めていきますので、しばらくお待ちください。,#hololive,2018-01-07T07:34:27+00:00,1,10,12,-1
しばらく平面を探して頂いても検出されないでしょうか？グレーの床など場所によっては検出されにくい場合もございます。,,2018-01-02T22:25:30+00:00,1,0,0,-1
