title,publishedDate,tags,views,likes,comments
【重大発表あり】試練！格付けアイランドにご招待！【#ホロの試練5】,2023-10-17,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ときのそら', '夏色まつり', 'AZKi', '白銀ノエル', 'ラプラス・ダークネス']",250212,14239,123
【大調査】おじいちゃん、わたしたちのこと知ってますか？【#わたしら巣鴨編】,2023-10-16,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'インタビュー', 'アンケート', '調査', '街頭', '巣鴨', '認知度', '高齢者', 'アキ・ローゼンタール', 'アキロゼ', 'Aki Rosenthal', '白銀ノエル', 'Shirogane Noel', '天音かなた', 'Amane Kanata']",175050,10701,517
【アニメ】自己肯定感が乱高下するメイド,2023-10-15,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",496061,35624,1175
未来のスター募集中！？ #かわいこちぇっく！ #ホロハニ #shorts,2023-10-15,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '戌神ころね']",140638,14257,79
全力ころね先生！ #ホロハニ #shorts,2023-10-14,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",137139,13282,93
全力ころね先生！ #ホロハニ #shorts,2023-10-14,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",137139,13282,93
ﾋﾟｯﾋﾟﾋﾟﾋﾟ #ホロハニ #shorts #戌神ころね,2023-10-13,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '戌神ころね', 'かわいこちぇっく！']",213895,22129,111
ﾋﾟｯﾋﾟﾋﾟﾋﾟ #ホロハニ #shorts #戌神ころね,2023-10-13,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '戌神ころね', 'かわいこちぇっく！']",213895,22129,111
【対談バラエティ】#わかり愛たいふたり【ラプラス・ダークネス＆風真いろは編】,2023-10-09,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '公式番組', 'バラエティ', '対談', 'トーク', 'ラプラス・ダークネス', '風真いろは']",336610,20254,848
【アニメ】魔法を思い出したいお嬢様,2023-10-08,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",548565,41733,1264
【新ボイス発表】トリック オア トリート！ お菓子の準備はOK？それとも……？　まさかの、あの人からもコメントが！？,2023-10-06,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ハロウィン', 'ボイス']",64022,5670,124
【新ボイス発表】トリック オア トリート！ お菓子の準備はOK？それとも……？　まさかの、あの人からもコメントが！？,2023-10-06,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ハロウィン', 'ボイス']",64022,5670,124
【同時視聴】Blue Journey 1st Live「夜明けのうた」もう一度旅をしませんか？【ホロライブ公式 / 友人A.春先のどか】,2023-10-03,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",51925,5105,18
【同時視聴】Blue Journey 1st Live「夜明けのうた」もう一度旅をしませんか？【ホロライブ公式 / 友人A.春先のどか】,2023-10-03,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",51925,5105,18
【シュール】真面目なニュース番組です【#ホロタイムズ】,2023-10-02,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ニュース', 'タイムズ', 'シュール', '情報番組', '白上フブキ', '大神ミオ', '猫又おかゆ', '夜空メル', 'Shirakami Fubuki', 'Ookami Mio', 'Nekomata Okayu', 'Yozora Mel', 'ゲーマーズ']",214012,13830,473
【アニメ】お水を奪い合ったばっかりに…,2023-10-01,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",699809,39540,1599
【新ボイス発表】世界のおわりに、君と,2023-09-30,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '世界の終わり', 'SF', 'ボイス', 'シチュエーション']",123879,10670,306
【新ボイス発表】世界のおわりに、君と,2023-09-30,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '世界の終わり', 'SF', 'ボイス', 'シチュエーション']",123879,10670,306
【ホロのこしかけ 27】6周年突入！ReGLOSSにBJに新鮮な9月NEWS！兎化も最終章に！【友人A・えーちゃん】hololive FM,2023-09-28,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",57871,4763,25
