id,privacyStatus,title,publishedDate,duration,tags,views,likes,comments,topicCategories,liveStreamActualStartTime,liveStreamActualEndTime,liveStreamScheduledStartTime,localizations
hUXdkxdbDyU,public,【#きこうぜホロボイス】試聴機能搭載！ホロライブの旬なボイスを紹介します【友人Ａ】,2023-12-14T04:16:31Z,PT1H11M53S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",52140,4513,12,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-12-14T03:00:34Z,2023-12-14T04:12:21Z,2023-12-14T03:00:00Z,[]
waciZHCJt5g,public,【音MAD】アホ毛収穫祭 #ホロライブ #hololive #夏色まつり,2023-12-13T10:40:40Z,PT16S,[],557821,55544,512,['https://en.wikipedia.org/wiki/Video_game_culture'],,,,[]
vVeSO_WEirY,public,【ホロパレード】ホロライブメンバーとパレードができるらしい…❗👀【春先のどか/ホロライブ】,2023-12-11T13:13:31Z,PT2H5M48S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",304957,20376,135,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-12-11T10:59:43Z,2023-12-11T13:05:32Z,2023-12-11T11:00:00Z,[]
179Mln5JCBg,public,つまりチップスをチョコにディップすると美味しさマックスってこと #ホロぐら #白上フブキ #不知火フレア #ホロライブ #hololive #昨日の次回予告,2023-12-11T10:03:00Z,PT22S,[],241601,21016,198,['https://en.wikipedia.org/wiki/Video_game_culture'],,,,[]
lW1VfXPCOfs,public,【第1回】笑ってはいけないホロライブ？【#ホロボケて選手権】【大喜利】,2023-12-11T09:00:10Z,PT13M49S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ボケて', 'bokete', 'ぼけて', '笑ってはいけない', '選手権', '第1回', 'ホロプラス', '尾丸ポルカ', '獅白ぼたん', 'Omaru Polka', 'Shishiro Botan', 'けものサーカス']",220488,13740,252,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-12-11T09:00:10Z,2023-12-11T09:15:54Z,2023-12-11T09:00:00Z,"['en', 'es']"
Tsv2E760zro,public,【アニメ】だるまさんから異次元に突入する方法,2023-12-10T09:00:27Z,PT2M29S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",470622,38025,1106,[],,,,"['es', 'en', 'id', 'zh-Hans', 'zh-Hant', 'ko']"
5RJGPhI-VC0,public,本人は気に入ってるから #兎田ぺこら #宝鐘マリン #ホロぐら #ホロライブ #hololive,2023-12-08T11:22:59Z,PT16S,[],517778,33559,236,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
M2oCwXVfpGk,public,Riot Games ONE Opening Act 「POP/STARS」「THE BADDEST」3D Live Performance,2023-12-07T02:00:08Z,PT6M26S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '紫咲シオン', 'ラプラス・ダークネス', 'ハコス・ベールズ', 'こぼ・かなえる', 'Murasaki Shion', 'La+ Darknesss', 'Hakos Baelz', 'Kobo Kanaeru', 'Riot Games ONE', 'KDA', 'popstars', 'thebaddest', 'LEAGUEOFLEGENDS']",1149928,71271,2008,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music']",,,,[]
pzEGm-EkpOI,public,【絶対捕まる女教師】こいつやばい！逃げろ！ #博衣こより #天音かなた #ホロぐら #ホロライブ #hololive,2023-12-06T10:15:06Z,PT33S,[],819213,67600,785,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
QsZ3nD1YZQo,public,《hololive SUPER EXPO 2024》＆《hololive 5th fes. Capture the Moment》PV,2023-12-05T12:21:46Z,PT2M53S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'EXPO', 'fes', 'hololive SUPER EXPO 2024', 'hololive 5th fes.', 'hololive 5th fes. Capture the Moment', 'ライブ', 'イベント', '幕張メッセ', 'ホロハニ']",81912,7153,269,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",,,,[]
